omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
2.1234053219045514E-05	1.2509000000000000E+02	1.6643315615116765E+02	6.6592459777180318E+02	6.6866666277808440E+02	1.1051765162289034E+03	1.1171661921717069E+01	3.3633409934413345E+00	1.0024139138275822E+02	-3.5518960922688447E-01	4.6008472801607522E-03	3.7111116495168413E-02
3.3414160516018858E-03	1.2509000000000000E+02	1.6573919566300196E+02	7.3444004647174850E+01	8.1392046656176461E+01	3.7074260889587111E+02	1.3256872333705831E+00	2.0484431966899166E+00	8.0941348127527792E+00	-4.8613084079573676E-01	4.1147738748891771E-03	8.2993826093768194E-02
1.6538214981992454E-05	1.2509000000000000E+02	1.5264675023773535E+02	8.8962131293472896E+02	8.9453472629866314E+02	1.1504395712169071E+03	1.2080213374821568E+01	1.2834029860577560E+01	1.9474399679561333E+01	-5.7955427790038694E-01	3.7071144272570380E-03	1.8312779185571662E-03
1.5660094102311514E-05	1.2509000000000000E+02	1.5132556101519407E+02	7.3287932164169808E+02	7.3828589003453294E+02	1.3939951624460496E+03	1.0301370285917711E+01	8.2764302459435672E+00	5.1845242781026869E+01	-6.9000860206348991E-02	5.1810384431925111E-03	2.8771295074073983E-05
4.3370300899923271E-05	1.2509000000000000E+02	1.3850956980220022E+02	7.5439303559455686E+02	7.5482893675324908E+02	8.0769498658259158E+02	3.2056599157888721E-01	6.0405640923606996E-01	7.5974388477846233E+01	-6.9816802838585923E-01	3.1413999590626462E-03	2.2873214564531701E-03
5.7341742718159387E-05	1.2509000000000000E+02	1.2819264616417823E+02	5.4009327711076162E+02	5.4168398120053303E+02	6.7473508735407847E+02	9.6721163961906509E+00	3.3201645994652829E+00	7.9064629937552212E+01	-2.6901673571783014E-01	4.8520292997771006E-03	3.6160158964818149E-04
3.7989695537748841E-05	1.2509000000000000E+02	1.3323621632832393E+02	2.9478887177295462E+02	3.0003542846536050E+02	3.1157733977845743E+02	2.6418567483042632E+00	1.0031595324506794E+01	9.8472654142171450E+01	-1.2018828643537633E+00	8.6059386505289162E-04	4.6304570969981267E-03
2.4247213996357571E-05	1.2509000000000000E+02	1.4849772339301543E+02	5.1384504263468330E+02	5.1825349836063276E+02	6.9098643881314740E+02	1.4917975692971599E+00	1.3390172005673017E+01	7.6235620269195934E+01	-4.6138620906526628E-01	4.2150925137982107E-03	1.1769761096446928E-03
1.3956983536769438E-05	1.2509000000000000E+02	1.6168784644218061E+02	7.6635168670506766E+02	7.7062198569095790E+02	1.4392921649801042E+03	1.1747304869092677E+01	2.5748329606255669E+00	5.8645026900640239E+01	-9.9304878563890264E-01	1.7006677943698088E-03	1.1128786042201382E-01
2.3154754390893706E-05	1.2509000000000000E+02	1.6115609342902252E+02	7.1196861018518382E+02	7.1240466300975743E+02	1.0765086316627026E+03	1.3617454091234810E+01	1.1639522145660372E+01	6.4990207279096452E+01	-1.6649927171479417E-01	5.0676198440488037E-03	3.6702506562325391E-03
1.5969994568113105E-04	1.2509000000000000E+02	1.2990196085680833E+02	1.9810196740930061E+02	1.9957307355924189E+02	4.4812233950855318E+02	1.2335403706429249E+01	1.8057201833025183E+00	9.9407283052060421E+01	-1.3690169174357592E+00	4.1183437416775377E-04	4.9795393877846662E-03
1.7926540723351017E-05	1.2509000000000000E+02	1.5695102683276917E+02	4.3242656238490088E+02	4.3781591887484115E+02	1.0953977466772299E+03	5.3390296427714778E+00	4.1780859170845170E+00	1.1444015688469641E+01	-1.0334082501971080E+00	1.5197441995214883E-03	4.6339922447854991E-03
2.0310428746178399E-05	1.2509000000000000E+02	1.2945190846579237E+02	5.2832304992634943E+02	5.3686189966595816E+02	1.3555927153237130E+03	1.0015413743776927E+01	6.1246933950226259E+00	8.2319178818408020E+01	-1.4040196477762743E+00	3.4887714264039238E-04	5.0272697476619428E-03
2.4292044470635301E-05	1.2509000000000000E+02	1.3338279600097462E+02	8.2111736399639267E+02	8.2946346574903623E+02	9.3936688317422136E+02	9.6346811346405552E+00	6.7431714662551743E+00	2.6984511629671097E+01	-8.9603609219136182E-01	2.1600480548099230E-03	3.2489796953155590E-03
3.7797454826866129E-05	1.2509000000000000E+02	1.5704349945777724E+02	4.1626015816175385E+02	4.1681104099229492E+02	8.7798481524362455E+02	7.5031004278935018E+00	6.4825558352668566E-01	8.6513927175437061E+01	-3.4983539634850502E-01	4.6181737331325865E-03	7.3810004355885856E-04
2.9025919051779498E-05	1.2509000000000000E+02	1.4829397578794695E+02	4.0466742825446067E+02	4.1369390898556168E+02	1.1591337551871006E+03	9.6951348010427942E+00	1.9923521992714854E-01	9.5446925024710097E+01	-1.3100230503397858E+00	5.4321255544743734E-04	5.5360708393988175E-03
2.1678531930982221E-05	1.2509000000000000E+02	1.5201791427342590E+02	7.6851880136808325E+02	7.7543673594735412E+02	9.9064071282774239E+02	3.3016525208957739E+00	7.1697934390370701E+00	6.8636783126572510E+01	-3.5719132369297313E-01	4.5943138014212419E-03	7.4334679687689496E-04
3.4738005495802413E-05	1.2509000000000000E+02	1.4317911581434734E+02	5.0988020545797428E+02	5.1513954286702881E+02	5.4842807734311930E+02	1.3896863557676255E+01	1.1100904000830326E+01	8.3011883837176441E+01	-9.5104588402989654E-01	1.8959071457621342E-03	3.7928688356742061E-03
1.4528200756827417E-05	1.2509000000000000E+02	1.3472672942465019E+02	8.3768640928328341E+02	8.3906228567429935E+02	1.4870611378629978E+03	1.2901155283488871E+01	1.3998176758502691E+01	8.9754090009608348E+01	-5.8973939152742272E-01	3.6603004076027120E-03	1.6648686682507866E-03
3.6976500675219836E-05	1.2509000000000000E+02	1.4443009155693468E+02	7.6117007588556510E+02	7.6333751257198753E+02	8.2612181826314043E+02	1.1261880844813716E+01	2.3569808644507924E+00	8.5477354346065482E+01	-9.7633199074951182E-01	1.7775961141710892E-03	3.9631295943839823E-03
1.8872422964101953E-05	1.2509000000000000E+02	1.7306835713158284E+02	5.3291030082987163E+02	5.3873667695500728E+02	7.0234124839880553E+02	6.8173145194618556E-01	3.7260762063907813E+00	5.9280199420768867E+01	-1.0432671755169396E+00	1.4766804766966602E-03	3.4143493092130889E-01
1.7462291084663556E-06	1.2509000000000000E+02	1.6358917246890218E+02	1.4786216118273427E+02	1.5232381649889231E+02	8.2778849391163726E+02	1.2623204292414339E+01	3.8279811798259527E+00	3.9003394584173058E+01	-9.3723987699357314E-01	1.9613999665625231E-03	1.4784146686599214E-01
4.7684506355754824E-05	1.2509000000000000E+02	1.3216457454738887E+02	5.1585942644898751E+02	5.2394719301441080E+02	5.6613317938341436E+02	7.2448789411899073E+00	9.8484457864186012E+00	4.4430747577655474E+01	-1.4337456347967925E+00	3.0447514568232608E-04	5.1807553793053844E-03
2.3145175005771023E-05	1.2509000000000000E+02	1.4941532644566396E+02	6.3594602997691652E+02	6.4563921927737033E+02	8.9135138846065445E+02	1.1471696886313937E+01	1.1497294622565290E+01	6.2961922031809536E+01	-1.6155588792642939E-01	5.0755733232682402E-03	1.5461073118740808E-04
1.3734739289755866E-05	1.2509000000000000E+02	1.4262297369812288E+02	2.3203114912939779E+02	2.4163202727289502E+02	5.8502169760643585E+02	6.5576718595147465E+00	7.7004573132844909E+00	8.0554628338457377E+01	-3.5840670359899041E-01	4.5903321151530251E-03	7.0155879384344131E-04
1.1479193674697968E-05	1.2509000000000000E+02	1.5767127716024467E+02	2.6754063350033971E+02	2.7740782778123753E+02	7.5906675504942734E+02	7.2119465898312374E+00	5.2345472285219214E+00	6.4338931539719425E+01	-1.2075563920187482E+00	8.4165559892191279E-04	5.5120750335077521E-03
1.5301080980247425E-05	1.2509000000000000E+02	1.6930874792045856E+02	4.4794937432648118E+02	4.5500284834066537E+02	8.0320048311408630E+02	2.0387693805334948E+00	2.0551682742103785E+00	3.0187378114642286E+01	-5.5058347113650918E-01	3.8379422532053651E-03	1.0272605375947576E-01
5.2659025093255117E-06	1.2509000000000000E+02	1.6462530108068850E+02	2.8507343965353141E+02	2.9416117753561645E+02	8.2774651566415400E+02	1.1539925662120771E+00	7.4975021128531090E+00	3.8480128993038150E+01	-5.8906424166726401E-01	3.6634160535840405E-03	7.9809029704396781E-02
9.0469707682624352E-06	1.2509000000000000E+02	1.6162249202134672E+02	3.5140019343299798E+02	3.5958175721093158E+02	5.2412109750980562E+02	1.2388904773205940E+01	8.6918372564911088E+00	4.3315784069856527E+01	-9.0172402374776195E-01	2.1323738915764168E-03	9.5817110039559394E-02
1.2025354602532834E-05	1.2509000000000000E+02	1.6786072380891568E+02	4.1888954149041768E+02	4.1964498738741736E+02	7.4595913612095592E+02	1.0972828985039531E+01	1.0025074671360231E+01	2.2898336170659555E+00	-7.3920975331755101E-01	2.9383361696511002E-03	1.5511392255660855E-01
3.1178317653432345E-05	1.2509000000000000E+02	1.3264499380526831E+02	6.9642116424926610E+02	6.9697845478401450E+02	9.5704622720696329E+02	1.2110608606976740E+01	4.9664396846976313E+00	9.2457345984623458E+01	-5.3249115874493835E-01	3.9177481198390896E-03	1.3656871622499821E-03
1.4420219918733282E-05	1.2509000000000000E+02	1.5552977726737026E+02	7.9101252324926327E+02	7.9352829045314741E+02	1.4066851794517997E+03	5.0243635791001671E+00	8.8692921444630688E+00	1.2002538591158826E+01	-5.5196740553786205E-01	3.8317754247410908E-03	1.7108147390721131E-03
1.2033483778883158E-05	1.2509000000000000E+02	1.7315335572994471E+02	8.8536358775355086E+02	8.8810660987072924E+02	1.6405050116081279E+03	7.6863819483604194E+00	9.8644407338297171E+00	3.7845048115050908E+01	-1.4413782665129515E+00	2.9443892350301045E-04	4.5148237219036869E-01
2.1052401760918514E-05	1.2509000000000000E+02	1.3045686601367169E+02	4.4959556376542690E+02	4.5720265937838826E+02	1.2451667296212011E+03	2.2410056567476158E+00	1.0930510564535163E+01	5.5497356179401912E+01	-9.4672067309977204E-01	1.9163607877376444E-03	3.4311988400515655E-03
2.4081137899831184E-05	1.2509000000000000E+02	1.4968268175279383E+02	5.9063235374197006E+02	5.9656847629070671E+02	9.0541117859790620E+02	1.3376276304980868E+01	7.2146000060786486E+00	1.0083608857720908E+02	-1.0932289234818340E+00	1.2661499862609668E-03	4.7216940432213885E-03
2.4597644431668465E-05	1.2509000000000000E+02	1.4166664811544896E+02	2.7494384512535476E+02	2.7735566236421266E+02	8.8988974128844677E+02	1.2368418630710066E+01	5.0168995436825323E+00	7.7566331403593693E+01	-6.9570412982201835E-01	3.1535113803504082E-03	2.3262381750625348E-03
7.9610807712164535E-04	1.2509000000000000E+02	1.3905944369839943E+02	8.5968973178402052E+01	9.2735260744921533E+01	8.2511494214419042E+02	1.0423958094382639E+01	7.3110932271513585E-01	2.2857219898075435E+01	-2.5512445016190566E-01	4.8867463771143961E-03	3.5395951346744927E-04
1.1969985767890871E-05	1.2509000000000000E+02	1.4954371540936350E+02	9.3135358424920287E+02	9.3864089285425882E+02	1.5091565395515208E+03	1.0640455201892394E+01	3.9318619056753170E+00	9.5603213525658106E+01	-2.4384586817558596E-01	4.9136959913161802E-03	3.4862443151415141E-04
1.4342178346711071E-05	1.2509000000000000E+02	1.6881035187842340E+02	5.3567995069812991E+02	5.4162492611986829E+02	1.2761211894108546E+03	7.6962145486363276E-01	8.4000179847236804E+00	3.8981348223044229E+01	-1.1863544621891100E+00	9.1363688054122013E-04	3.1273175438015027E-01
1.4879298746498757E-05	1.2509000000000000E+02	1.6722980168203816E+02	6.0889568592370290E+02	6.0952204876557096E+02	1.2560961706126557E+03	1.3710832435829021E+01	1.1696194375118329E+01	5.6669437980125394E+01	-9.7489421584260350E-01	1.7842623505130747E-03	2.2371535716924484E-01
1.0548544768811922E-05	1.2509000000000000E+02	1.6850325619882591E+02	2.5999082238878628E+02	2.6071946727611100E+02	8.0511245432082205E+02	3.9976332265407000E+00	4.1801136279851718E+00	4.6045360059032852E+01	-1.1755978091434687E+00	9.5139796218070131E-04	3.0393872137411215E-01
2.5399793962063357E-05	1.2509000000000000E+02	1.3862592237622289E+02	2.1126601456723455E+02	2.1536081421438641E+02	2.3251330847037644E+02	6.4404443610182236E+00	5.0771693930854873E+00	2.7835139667072866E+01	-3.6524677457572996E-01	4.5677167208367430E-03	7.0680027213182711E-04
1.1770711989426750E-05	1.2509000000000000E+02	1.6984782445853475E+02	8.2656404496010589E+02	8.2806412903036187E+02	1.6752519791597742E+03	6.4799031285475479E+00	7.5175064495846193E+00	3.3234965931733591E+01	-1.0566810978326067E+00	1.4188605271279477E-03	2.9373399503076697E-01
5.9321575791989171E-05	1.2509000000000000E+02	1.3263085476861374E+02	3.9648734915372324E+02	3.9666349964060981E+02	5.0720481973011272E+02	3.0859975841762490E+00	8.1403319988587537E+00	3.8461060209880145E+01	-1.1019082833246225E+00	1.2309862193289527E-03	4.2162028071715324E-03
5.8517302036012746E-05	1.2509000000000000E+02	1.6547162822387259E+02	4.5272758174814635E+02	4.5959999542199074E+02	5.3015902535065959E+02	1.0444764899623005E+01	2.0277295451274746E+00	8.6351161884773134E+01	-1.4426968413917876E+00	2.9276202628538615E-04	2.7727848545491035E-01
6.5917555221105555E-05	1.2509000000000000E+02	1.4093397143025138E+02	2.8669242478753085E+02	2.8702480809158868E+02	9.7948390516894119E+02	8.7590515564470781E+00	4.3222561790711502E+00	1.0706423110191906E+01	-1.5556692037910322E+00	2.1241098103302609E-04	5.6320344056390529E-03
1.8884973640966930E-05	1.2509000000000000E+02	1.3331193329605364E+02	2.7236537431476887E+02	2.7693184195874812E+02	8.3049680333607671E+02	1.0976523383369914E+01	1.1005949938532874E+01	9.2864943174582407E+01	-7.6394081648283008E-01	2.8151364369780399E-03	2.5485760435791328E-03
1.9235279154830888E-05	1.2509000000000000E+02	1.3328911836096975E+02	8.9263803239103322E+02	8.9314534273610707E+02	1.2321791504426762E+03	7.2480347184222342E+00	6.0547829190058549E+00	4.6881857464966295E+01	-1.1355031671363092E-01	5.1406670047637933E-03	6.8360491722263577E-05
2.6889463546990017E-06	1.2509000000000000E+02	1.6873083639515602E+02	1.8145394741159581E+02	1.8549636150966228E+02	7.3200960321445461E+02	4.0725687336048901E+00	3.7085423946420395E+00	6.3135873205091741E+01	-1.0709587686758404E+00	1.3583377420382681E-03	2.7891305009805706E-01
3.0133146546497120E-05	1.2509000000000000E+02	1.5112723056429869E+02	6.3913735621102967E+02	6.4284138270320443E+02	7.6446082029233730E+02	1.3486615059984203E+01	6.6445363244714848E+00	6.6290846473207168E+01	-6.2732211468476740E-01	3.4842917255682075E-03	2.0826212628235821E-03
3.0150953452048042E-06	1.2509000000000000E+02	1.6081697592234565E+02	1.4859970621699455E+02	1.5600742109399636E+02	5.9089034704532958E+02	1.2539723146352788E+01	9.3318928657248126E+00	4.2914566812065694E+01	-1.3813183044493471E+00	3.8840968570117156E-04	1.1088956210673848E-01
3.9061836825948682E-05	1.2509000000000000E+02	1.5487426994745817E+02	4.7288903278433207E+02	4.7718705207909784E+02	5.6852240903234224E+02	1.2633056762317688E+01	1.2540687057767384E+01	4.3446577941275471E+01	-1.4882760810455791E+00	2.4519503110894926E-04	6.1535889738219777E-03
2.2934726877262903E-05	1.2509000000000000E+02	1.2682402226145101E+02	7.9583647029746157E+02	7.9963410603331124E+02	1.0824282895924655E+03	1.3104430371944062E+00	1.1571227890239669E-01	9.2906969292046028E+01	-3.6436966375442092E-01	4.5706362633910723E-03	6.4303698388186133E-04
1.0262477086255275E-05	1.2509000000000000E+02	1.5787596840462925E+02	3.1052510750504450E+02	3.1798963872156554E+02	8.6124064936826028E+02	1.0697149107883288E+01	5.6910622028592330E+00	7.4253161308007847E+01	-6.1700121300155064E-01	3.5331061102210292E-03	2.1146385099508665E-03
1.9693463814126174E-05	1.2509000000000000E+02	1.5053584075242554E+02	4.7597279028313829E+02	4.8560191814117223E+02	8.3369441138752472E+02	1.9581362636099275E+00	5.4488183484174399E+00	4.6000248842407132E+01	-8.3019925388355564E-01	2.4846065811243057E-03	3.2797324347323097E-03
1.1374309393996845E-05	1.2509000000000000E+02	1.6768675782760454E+02	8.4182397611058502E+02	8.5017066335779180E+02	1.5142621227373659E+03	1.0857948901857226E+01	3.7278830513487962E+00	5.2518856385498701E+01	-4.2661348894570716E-01	4.3497755314312906E-03	5.7806607128830505E-02
2.7160175353902359E-05	1.2509000000000000E+02	1.2948208462107559E+02	8.5545692369595952E+02	8.5667233091158425E+02	1.0123286421235318E+03	1.2645042203061768E+01	6.6854579624186539E-01	7.9150673759240036E+01	-3.0928136661150285E-01	4.7421587452978545E-03	4.7905598799327973E-04
3.4306516238866183E-05	1.2509000000000000E+02	1.4159413780776046E+02	5.2516387290096088E+02	5.2680087258424646E+02	6.0348365281405097E+02	1.3082500232282326E+01	1.2647242146240194E+01	5.6850071811978744E+01	-7.0404063506337677E-01	3.1124909697853335E-03	2.3715313224342820E-03
2.2406823936302183E-05	1.2509000000000000E+02	1.4356673408616183E+02	5.1927215311176712E+02	5.2760922039282013E+02	9.7130498402812759E+02	1.2748607396822704E+01	4.0719290248918947E+00	2.4066811833096114E+01	-8.8555487077868167E-01	2.2112266652686112E-03	3.4408029174888347E-03
5.5031825950048355E-04	1.2509000000000000E+02	1.3326568167493477E+02	1.0880315874647496E+02	1.1382876483901812E+02	9.4754785830040839E+02	4.6425988540717391E+00	3.4848841701098177E-01	7.4504392138451522E+01	-3.8420560772462897E-01	4.5032270591501417E-03	7.4794658343716380E-04
1.1032540133739937E-05	1.2509000000000000E+02	1.7072506552746290E+02	8.2092617865229306E+02	8.2679232814199861E+02	1.5488243564957866E+03	1.2660730804019016E+01	5.2537036118813338E+00	3.7056956386220158E+01	-9.2313651869123758E-01	2.0288907142297519E-03	2.5875821749639355E-01
