omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
3.9679243887630202E-05	1.2509000000000000E+02	1.3478343889024734E+02	4.1544399883851594E+02	4.1880433465298466E+02	1.2769070724616327E+03	8.9250406276551271E+00	1.0306706924460226E+01	7.1156401055937820E+01	-6.5327198391020713E-01	3.3601430726190535E-03	1.9892694150821229E-03
3.4821045295989280E-07	1.2509000000000000E+02	1.5970201618640311E+02	1.3951869448158828E+02	1.4011413854552160E+02	3.8546380243984231E+02	1.7750135131529596E+00	1.2847954611083471E+01	9.3305559521683293E+01	-9.2260276425225984E-01	2.0314558997864720E-03	4.0609904338577713E-03
5.5599524630882120E-05	1.2509000000000000E+02	1.6597849867269792E+02	4.0601360758580898E+02	4.1056115634299869E+02	7.3089602379170060E+02	1.3209083765702827E+01	6.6321625641231243E+00	5.9198148737753804E+01	-1.9382478425336847E-01	5.0195165461424159E-03	1.0952509756490205E-02
1.3993183125594630E-04	1.2509000000000000E+02	1.3726737678074156E+02	2.4486577827244335E+02	2.5077478088008928E+02	4.2632005548864606E+02	2.0778110915691643E+00	9.2814955655399221E+00	7.9573000188252422E+01	-2.7831740125792703E-01	4.8278601200672355E-03	4.1403845679298000E-04
4.2291208155355488E-07	1.2509000000000000E+02	1.2818349994784850E+02	1.5958722457736135E+02	1.6251044649282025E+02	7.8259426398789242E+02	1.2011397091071771E+01	1.4014406829473751E+01	1.1488288155984268E+01	-1.0443580764549933E+00	1.4719445318423007E-03	3.8262650593114426E-03
8.3870579059084172E-06	1.2509000000000000E+02	1.2975757090979607E+02	1.9798455957695123E+02	2.0614782701067060E+02	3.8968027608454236E+02	1.1499366424278994E+00	1.0451352733723517E+01	9.9602550067753786E+00	-7.1776846814626205E-01	3.0447024496640003E-03	2.2416458043371446E-03
7.4351091989920056E-05	1.2509000000000000E+02	1.3183765063763951E+02	5.3992168362714438E+02	5.4245914272612856E+02	6.0410620819502810E+02	2.5316652513722260E-01	1.1800183568382721E+01	9.0413377777400143E+01	-1.6844364052360761E-01	5.0644282408535699E-03	1.4800844002984612E-04
5.8637155717275487E-05	1.2509000000000000E+02	1.2770224643448938E+02	4.8653063426564012E+02	4.9109167291833631E+02	6.6069606883018093E+02	2.0719720985609906E+00	3.4856741336107602E+00	5.3865814861313353E+01	-1.1710475085173500E+00	9.6761744138677938E-04	4.3267183230076061E-03
2.6039506084762099E-05	1.2509000000000000E+02	1.4326987250079395E+02	7.8888230656221617E+02	7.9783185849330937E+02	9.8185268129774033E+02	1.1508131591700078E+01	1.4097733045368331E+01	7.6746592868001471E+01	-1.2523564076257965E+00	7.0074395057036372E-04	5.1661562185845019E-03
4.8164765534488233E-05	1.2509000000000000E+02	1.3330326813111699E+02	5.6641340442766125E+02	5.6762553643790329E+02	7.8174815780098925E+02	4.4844501359315814E+00	3.0514205152873974E+00	1.4202628452890844E+01	-1.4417089057484134E-01	5.1017012274260755E-03	1.0992248334760552E-04
1.8465408250530868E-05	1.2509000000000000E+02	1.5648034771890860E+02	6.4507807660618710E+02	6.5048319403570292E+02	1.4919618442850010E+03	1.2308190595828085E+01	9.5155323847269315E+00	3.9910998654976019E+01	-1.0975925111419498E+00	1.2484162620218075E-03	4.9601554001916697E-03
2.2420441538106450E-05	1.2509000000000000E+02	1.2800551109539137E+02	8.6769873309773334E+02	8.7163173744065307E+02	1.1195275657668371E+03	4.6098492049192306E+00	5.8946291117903904E+00	5.6355433493552461E+01	-5.8561361875621964E-01	3.6793124556966719E-03	1.5614492410831492E-03
1.1555082918272683E-05	1.2509000000000000E+02	1.5706754667232630E+02	9.3904893411744797E+02	9.4370296096601658E+02	1.6379317627232203E+03	6.8585003883850293E-01	1.7542284767861610E-01	8.7787381633085833E+00	-2.6132398538317592E-01	4.8714598225480608E-03	4.1946383519031883E-04
2.5550315618884405E-05	1.2509000000000000E+02	1.5841926045792610E+02	6.0646921212620521E+02	6.1257556562431876E+02	1.0912081529578231E+03	4.1717201223930900E+00	1.4096434709055552E+01	1.7578561401264071E+01	-5.1890724827421741E-01	3.9766319106827762E-03	1.5589718678410344E-03
3.2347333859271840E-05	1.2509000000000000E+02	1.3525637641478627E+02	6.9024813982669650E+02	6.9497556667540960E+02	8.8830515716145987E+02	3.0930640165661760E+00	2.3963707038650157E+00	6.3699336039693710E+00	-2.1426334514241385E-01	4.9790162876842473E-03	2.4432409010834302E-04
5.2085908074803523E-05	1.2509000000000000E+02	1.3268293137006134E+02	5.1719181880689780E+02	5.2349059577262528E+02	6.9152637167904822E+02	7.4428511467496170E+00	1.0007311094881645E+01	8.7335844447061348E+01	-2.3037107164423509E-01	4.9444208592833890E-03	2.7634660845781957E-04
3.3664614765360866E-05	1.2509000000000000E+02	1.4138821011624216E+02	4.7659441443467250E+02	4.8389114842931326E+02	1.0317156333856822E+03	6.7323478159645322E+00	1.2636426188674022E+01	9.7594872836300581E+01	-1.2706570841709532E+00	6.4775499806461777E-04	5.1576393259363086E-03
2.8051628369970003E-05	1.2509000000000000E+02	1.4781725308906624E+02	5.8541532435240936E+02	5.9154002618116328E+02	9.7019519490198934E+02	1.0983844145053924E+01	9.9104141057051776E-01	3.0112890702259207E+01	-9.7069147675683709E-01	1.8037919113843125E-03	4.0259092687639870E-03
