sqrts	xsec	
200	0.00012438	
200.098	3.96595e-06	
200.196	2.8014e-06	
200.294	2.28454e-06	
200.392	1.97597e-06	
200.49	1.7651e-06	
200.588	1.60924e-06	
200.686	1.48794e-06	
200.784	1.39004e-06	
200.882	1.30885e-06	
200.98	1.24008e-06	
201.078	1.18085e-06	
201.176	1.12911e-06	
201.274	1.08342e-06	
201.372	1.04266e-06	
201.47	1.00601e-06	
201.568	9.72806e-07	
201.666	9.42545e-07	
201.764	9.14811e-07	
201.862	8.89267e-07	
201.96	8.65638e-07	
202.058	8.43692e-07	
202.156	8.23237e-07	
202.254	8.0411e-07	
202.352	7.86172e-07	
202.45	7.69304e-07	
202.548	7.53401e-07	
202.646	7.38373e-07	
202.744	7.24144e-07	
202.842	7.10642e-07	
202.94	6.97808e-07	
203.038	6.85588e-07	
203.136	6.73933e-07	
203.234	6.62801e-07	
203.332	6.52153e-07	
203.43	6.41955e-07	
203.528	6.32175e-07	
203.626	6.22784e-07	
203.724	6.13759e-07	
203.822	6.05074e-07	
203.92	5.96709e-07	
204.018	5.88644e-07	
204.116	5.80862e-07	
204.214	5.73346e-07	
204.312	5.66081e-07	
204.41	5.59053e-07	
204.508	5.5225e-07	
204.606	5.45658e-07	
204.704	5.39268e-07	
204.802	5.33069e-07	
204.9	5.27052e-07	
204.998	5.21208e-07	
205.096	5.15528e-07	
205.194	5.10005e-07	
205.292	5.04631e-07	
205.39	4.99401e-07	
205.488	4.94306e-07	
205.586	4.89343e-07	
205.684	4.84504e-07	
205.782	4.79785e-07	
205.88	4.75181e-07	
205.978	4.70687e-07	
206.076	4.66298e-07	
206.174	4.62011e-07	
206.272	4.57822e-07	
206.37	4.53727e-07	
206.468	4.49722e-07	
206.566	4.45804e-07	
206.664	4.41969e-07	
206.762	4.38216e-07	
206.86	4.34541e-07	
206.958	4.30941e-07	
207.056	4.27413e-07	
207.154	4.23956e-07	
207.252	4.20567e-07	
207.35	4.17244e-07	
207.448	4.13984e-07	
207.546	4.10785e-07	
207.644	4.07646e-07	
207.742	4.04565e-07	
207.84	4.01539e-07	
207.938	3.98568e-07	
208.036	3.95649e-07	
208.134	3.92782e-07	
208.232	3.89964e-07	
208.33	3.87194e-07	
208.428	3.8447e-07	
208.526	3.81792e-07	
208.624	3.79159e-07	
208.722	3.76568e-07	
208.82	3.74018e-07	
208.918	3.7151e-07	
209.016	3.69041e-07	
209.114	3.6661e-07	
209.212	3.64217e-07	
209.31	3.6186e-07	
209.408	3.59539e-07	
209.506	3.57252e-07	
209.604	3.55e-07	
209.702	3.5278e-07	
209.8	3.50592e-07	
209.898	3.48436e-07	
209.996	3.4631e-07	
210.094	3.44214e-07	
210.192	3.42148e-07	
210.29	3.4011e-07	
210.388	3.38099e-07	
210.486	3.36116e-07	
210.584	3.3416e-07	
210.682	3.32229e-07	
210.78	3.30324e-07	
210.878	3.28444e-07	
210.976	3.26587e-07	
211.074	3.24755e-07	
211.172	3.22946e-07	
211.27	3.2116e-07	
211.368	3.19396e-07	
211.466	3.17654e-07	
211.564	3.15933e-07	
211.662	3.14233e-07	
211.76	3.12554e-07	
211.858	3.10895e-07	
211.956	3.09255e-07	
212.054	3.07635e-07	
212.152	3.06034e-07	
212.25	3.04451e-07	
212.348	3.02886e-07	
212.446	3.0134e-07	
212.544	2.9981e-07	
212.642	2.98298e-07	
212.74	2.96803e-07	
212.838	2.95324e-07	
212.936	2.93862e-07	
213.034	2.92415e-07	
213.132	2.90984e-07	
213.23	2.89569e-07	
213.328	2.88168e-07	
213.426	2.86783e-07	
213.524	2.85412e-07	
213.622	2.84055e-07	
213.72	2.82712e-07	
213.818	2.81383e-07	
213.916	2.80068e-07	
214.014	2.78766e-07	
214.112	2.77477e-07	
214.21	2.76201e-07	
214.308	2.74937e-07	
214.406	2.73686e-07	
214.504	2.72448e-07	
214.602	2.71221e-07	
214.7	2.70007e-07	
214.798	2.68804e-07	
214.896	2.67612e-07	
214.994	2.66432e-07	
215.092	2.65263e-07	
215.19	2.64105e-07	
215.288	2.62957e-07	
215.386	2.61821e-07	
215.484	2.60694e-07	
215.582	2.59578e-07	
215.68	2.58472e-07	
215.778	2.57377e-07	
215.876	2.56291e-07	
215.974	2.55214e-07	
216.072	2.54147e-07	
216.17	2.5309e-07	
216.268	2.52042e-07	
216.366	2.51003e-07	
216.464	2.49973e-07	
216.562	2.48952e-07	
216.66	2.4794e-07	
216.758	2.46936e-07	
216.856	2.45941e-07	
216.954	2.44954e-07	
217.052	2.43975e-07	
217.15	2.43005e-07	
217.248	2.42043e-07	
217.346	2.41088e-07	
217.444	2.40142e-07	
217.542	2.39203e-07	
217.64	2.38271e-07	
217.738	2.37348e-07	
217.836	2.36431e-07	
217.934	2.35522e-07	
218.032	2.3462e-07	
218.13	2.33726e-07	
218.228	2.32838e-07	
218.326	2.31957e-07	
218.424	2.31083e-07	
218.522	2.30216e-07	
218.62	2.29356e-07	
218.718	2.28502e-07	
218.816	2.27654e-07	
218.914	2.26814e-07	
219.012	2.25979e-07	
219.11	2.25151e-07	
219.208	2.24329e-07	
219.306	2.23513e-07	
219.404	2.22703e-07	
219.502	2.21899e-07	
219.6	2.211e-07	
219.698	2.20308e-07	
219.796	2.19522e-07	
219.894	2.18741e-07	
219.992	2.17966e-07	
220.09	2.17196e-07	
220.188	2.16432e-07	
220.286	2.15673e-07	
220.384	2.1492e-07	
220.482	2.14172e-07	
220.58	2.13429e-07	
220.678	2.12691e-07	
220.776	2.11958e-07	
220.874	2.11231e-07	
220.972	2.10508e-07	
221.07	2.09791e-07	
221.168	2.09078e-07	
221.266	2.0837e-07	
221.364	2.07667e-07	
221.462	2.06969e-07	
221.56	2.06276e-07	
221.658	2.05587e-07	
221.756	2.04902e-07	
221.854	2.04222e-07	
221.952	2.03547e-07	
222.05	2.02876e-07	
222.148	2.02209e-07	
222.246	2.01547e-07	
222.344	2.00889e-07	
222.442	2.00236e-07	
222.54	1.99586e-07	
222.638	1.98941e-07	
222.736	1.983e-07	
222.834	1.97662e-07	
222.932	1.97029e-07	
223.03	1.964e-07	
223.128	1.95775e-07	
223.226	1.95154e-07	
223.324	1.94536e-07	
223.422	1.93923e-07	
223.52	1.93313e-07	
223.618	1.92707e-07	
223.716	1.92105e-07	
223.814	1.91506e-07	
223.912	1.90911e-07	
224.01	1.9032e-07	
224.108	1.89732e-07	
224.206	1.89148e-07	
224.304	1.88567e-07	
224.402	1.8799e-07	
224.5	1.87416e-07	
224.598	1.86846e-07	
224.696	1.86279e-07	
224.794	1.85715e-07	
224.892	1.85154e-07	
224.99	1.84597e-07	
225.088	1.84043e-07	
225.186	1.83493e-07	
225.284	1.82945e-07	
225.382	1.82401e-07	
225.48	1.8186e-07	
225.578	1.81322e-07	
225.676	1.80787e-07	
225.774	1.80255e-07	
225.872	1.79726e-07	
225.97	1.792e-07	
226.068	1.78677e-07	
226.166	1.78157e-07	
226.264	1.77639e-07	
226.362	1.77125e-07	
226.46	1.76614e-07	
226.558	1.76105e-07	
226.656	1.75599e-07	
226.754	1.75096e-07	
226.852	1.74596e-07	
226.95	1.74098e-07	
227.048	1.73603e-07	
227.146	1.73111e-07	
227.244	1.72622e-07	
227.342	1.72135e-07	
227.44	1.7165e-07	
227.538	1.71169e-07	
