Omega	Omega_err	mH1	mH2
0.00243043	7.93354e-07	745.974	890.303
0.000526584	6.82715e-08	857.625	875.919
6.84889e-05	1.8246e-08	485.47	622.698
0.000568169	7.57635e-08	626.23	794.5
0.000250921	7.53521e-08	286.04	501.409
0.0182205	2.28918e-06	554.112	554.122
0.00235919	2.52287e-07	590.925	870.432
0.00244524	7.2051e-07	561.909	609.658
0.000235343	6.04031e-08	861.111	959.685
0.000653467	7.8842e-08	438.411	471.822
9.69684e-06	1.84321e-09	375.239	888.03
0.000189955	5.75748e-08	220.228	359.74
0.0010943	1.31921e-07	764.11	784.243
0.0188267	5.61595e-06	895.325	895.417
7.19774e-05	1.56416e-08	446.593	527.603
8.14803e-05	2.14111e-08	495.202	645.367
0.000639567	2.04008e-07	331.594	406.309
0.0638713	6.85965e-06	440.657	442.112
0.00197762	2.13657e-07	458.775	614.882
0.00287859	3.3452e-07	761.268	877.983
0.00431288	3.96541e-07	410.954	415.404
0.00023345	7.44469e-08	414.053	631.838
0.00806898	3.27918e-06	925.411	933.341
0.000385056	1.22522e-07	238.074	329.562
0.00146281	1.50571e-07	624.977	696.568
0.000423487	6.16673e-08	669.946	753.138
0.00037563	7.09477e-08	398.786	510.738
0.0062901	1.91449e-06	682.588	706.957
0.000262294	4.42096e-08	747.834	760.8
0.000145935	4.17162e-08	534.238	773.906
0.000471391	7.14839e-08	674.679	695.022
0.000962667	1.22924e-07	540.355	601.54
0.00304119	3.34587e-07	354.609	747.546
0.000740167	1.94465e-07	723.604	910.289
0.000187426	5.63672e-08	426.866	587.065
0.00112107	2.44712e-07	551.404	558.337
0.000897903	1.29831e-07	388.003	427.213
0.000268069	8.20526e-08	572.646	843.327
0.00488074	1.05713e-06	644.502	644.504
0.00132412	2.36945e-07	602.392	606.117
0.0513607	6.35628e-06	654.592	873.211
0.00567912	7.97951e-07	417.012	425.272
0.00259514	3.39725e-07	607.118	631.929
0.000131737	3.54304e-08	633.756	875.319
7.88359e-05	2.28363e-08	434.448	997.316
0.000651287	1.20695e-07	507.534	627.815
0.000168803	3.71856e-08	639.439	694.436
0.000825168	1.3441e-07	548.889	552.788
0.000113517	3.05963e-08	656.641	920.618
7.68853e-05	1.86448e-08	183.495	592.944
0.000896847	9.45192e-08	417.898	660.156
0.000451124	9.57337e-08	430.916	571.15
0.00242708	2.38108e-07	512.981	535.28
0.0130945	4.26985e-06	567.815	679.337
0.016497	2.09839e-06	786.893	893.238
0.000109968	2.94649e-08	523.611	754.605
0.00390103	2.08779e-07	115.925	258.631
0.00328611	1.11684e-06	573.344	573.383
0.000483397	1.01759e-07	660.829	669.699
0.00305873	5.85774e-07	661.709	718.04
0.00120287	1.28351e-07	463.318	893.845
0.000242251	3.65641e-08	792.472	914.893
0.00254734	4.25505e-07	384.68	412.97
0.00096661	2.22538e-07	306.406	405.627
0.000116035	3.2464e-08	290.161	578.937
0.000949279	1.794e-07	425.693	471.098
9.24716e-05	2.62995e-08	331.204	815.489
0.000142831	4.0276e-08	465.329	669.148
6.92144e-05	1.28691e-08	659.48	805.212
0.00138073	5.07335e-07	191.767	245.657
0.0228921	3.36183e-06	568.059	571.946
0.00390083	3.98666e-07	716.162	826.459
0.00193438	7.33563e-07	327.499	354.462
0.000853877	1.54901e-07	730.695	879.156
0.000329507	1.04021e-07	466.348	810.474
0.00470317	5.20598e-07	464.575	794.16
1.42835e-06	2.45353e-10	198.504	665.588
0.00719181	7.95513e-07	336.363	336.365
0.00226747	5.77632e-07	298.573	403.011
0.00238838	3.30899e-07	549.578	625.594
0.00289759	1.85336e-07	673.177	690.167
0.000681341	2.3432e-07	286.821	437.827
3.70238e-05	8.65989e-09	305.672	479.174
0.000381351	6.1921e-08	207.614	220.497
0.000503691	1.67848e-07	527.426	946.847
0.000363048	1.27868e-07	754.55	802.06
0.000168195	7.76928e-08	534.5	605.75
0.00656935	1.14332e-06	473.977	491.945
0.000106998	2.8148e-08	671.929	924.649
0.000125127	3.57626e-08	452.654	832.674
1.53514e-06	2.58816e-10	140.163	460.08
0.00075784	1.7675e-07	322.494	474.36
0.00181075	3.44072e-07	558.263	638.239
0.000147952	4.22616e-08	273.121	573.868
0.000195237	2.9988e-08	453.579	503.878
0.000835147	1.27657e-07	743.331	760.744
0.000652027	2.10921e-07	317.674	434.521
0.000576764	8.7581e-08	605.84	625.768
0.00025239	6.24831e-08	289.889	366.269
0.000236177	7.27005e-08	406.464	535.731
9.91168e-05	2.40718e-08	507.543	650.333
0.000390277	1.25916e-07	493.419	824.708
0.000104009	2.82004e-08	401.496	521.294
7.447e-05	2.10233e-08	424.261	579.631
0.00216823	2.83059e-07	254.797	295.46
0.000102743	2.80215e-08	350.128	515.523
0.000124991	1.57657e-08	533.908	638.86
0.000798532	1.39151e-07	676.643	684.536
0.000369444	5.49432e-08	798.965	798.97
0.000201784	2.07564e-08	798.814	930.075
0.000102452	2.42457e-08	788.754	967.301
0.000869332	1.68655e-07	547.348	692.622
0.000153967	1.44363e-08	559.137	661.167
0.00121208	2.05331e-07	869.29	919.666
0.000849462	1.73752e-07	834.779	940.169
0.000365	1.54943e-07	826.722	866.264
0.000162405	4.85302e-08	261.396	540.321
0.00219466	2.53896e-07	193.351	507.484
0.000354909	1.16247e-07	530.18	822.438
0.000311447	1.18005e-07	805.614	901.643
0.000107765	3.11653e-08	371.708	546.383
0.00158892	1.95679e-07	889.259	958.951
0.00216261	5.14629e-07	740.127	885.475
0.00037389	6.46737e-08	341.925	415.224
0.000726852	2.41746e-07	655.843	944.187
0.000344303	6.88239e-08	648.912	661.997
0.000579407	2.0275e-07	280.374	586.814
0.00100054	3.56772e-07	492.754	641.946
0.000233496	6.94099e-08	538.692	735.986
0.000261136	5.44727e-08	464.953	478.859
0.000446669	1.4253e-07	434.497	575.625
0.000453268	1.40916e-07	422.522	559.404
0.00390912	1.44037e-06	587.831	753.256
0.000796327	2.79499e-07	313.173	469.786
3.29029e-05	6.81993e-09	679.53	855.429
0.000865164	1.65528e-07	454.48	558.786
0.000257397	7.2675e-08	392.917	486.877
0.000250521	7.94812e-08	465.387	804.672
0.000205411	2.1621e-08	685.241	794.574
3.50238e-06	5.76338e-10	181.612	735.881
0.000601207	1.36848e-07	438.134	493.779
0.000129386	4.62482e-08	129.73	539.575
0.000111088	3.17839e-08	350.687	803.647
0.00039037	9.6956e-08	635.78	830.47
0.00113726	4.00167e-07	598.774	898.25
0.00427622	9.87902e-07	825.546	833.735
0.000219342	6.85646e-08	602.681	663.245
0.000145151	3.7403e-08	556.515	681.406
0.000906155	8.36988e-08	862.371	912.666
0.000491223	1.66784e-07	390.161	684.389
0.000463042	6.54133e-08	832.887	839.585
0.00193975	4.15258e-07	727.872	767.119
0.000315885	3.98243e-08	875.06	896.363
0.00128176	3.29959e-07	891.303	892.652
0.000741105	2.82907e-07	162.077	742.552
0.000185461	5.31268e-08	568.728	857.694
0.00129091	2.81403e-07	601.755	705.737
0.000399416	1.35899e-07	541.871	789.008
0.00105871	3.80396e-07	523.238	723.304
0.00027611	9.00822e-08	236.199	581.526
0.00298023	3.23066e-07	508.549	718.477
0.000570742	1.91632e-07	530.928	718.628
0.000519324	1.64505e-07	519.671	657.537
1.1252e-05	2.37045e-09	133.58	415.16
0.00300199	8.2777e-07	214.38	243.119
0.000300781	8.90466e-08	631.088	954.535
0.00168066	5.36453e-07	808.163	813.988
0.000507998	1.88877e-07	252.472	616.021
0.000682473	6.13924e-08	821.278	888.487
5.80587e-07	8.90326e-11	156.525	824.984
0.00425653	7.77447e-07	284.87	332.601
0.000225191	6.19294e-08	263.074	381.007
0.00126528	1.3142e-07	472.72	991.071
0.000502214	1.6129e-07	580.77	976.98
0.00142345	3.12766e-07	299.513	303.343
0.00100641	1.06986e-07	881.275	929.689
0.0016382	2.35987e-07	721.922	768.72
0.00534029	6.8186e-07	485.005	485.094
7.40078e-06	1.39713e-09	184.961	864.195
0.000172263	4.9295e-08	609.658	833.246
0.0580474	1.04365e-05	496.365	589.093
0.00880986	5.64015e-07	813.772	827.669
0.000395362	1.29592e-07	461.07	664.248
0.000116192	2.877e-08	596.084	740.732
0.000198459	4.30245e-08	671.323	708.342
0.000970892	2.33483e-07	796.348	876.652
0.00212338	3.98472e-07	828.567	858.421
0.000331234	5.02438e-08	614.244	668.07
0.00127871	1.13724e-07	815.151	906.255
0.0025874	7.68406e-07	716.62	799.319
0.00577192	8.29849e-07	761.473	762.586
6.01342e-05	1.42604e-08	507.44	602.076
0.00175552	3.78729e-07	888.038	977.483
0.000163199	2.1728e-08	612.867	688.106
0.000629791	2.19567e-07	346.285	914.594
0.0017138	6.10072e-07	335.752	432.026
0.00283022	3.68404e-07	795.566	892.669
0.000144751	4.22099e-08	478.041	640.155
0.000106935	1.03945e-08	681.253	754.141
0.000718794	7.93484e-08	831.613	919.693
0.00455185	1.54043e-06	493.569	660.828
0.0130237	1.60574e-06	835.868	979.531
0.000210487	1.78843e-08	642.158	691.217
7.61415e-05	2.09388e-08	175.842	513.703
6.99416e-05	1.75327e-08	622.636	843.469
0.000274782	9.64151e-08	787.055	867.21
0.00314343	9.39873e-07	836.616	846.402
0.00261795	5.73454e-07	691.476	780.414
0.000162348	5.01515e-08	215.656	421.573
0.00122748	1.9309e-07	649.013	669.095
0.00146384	3.54449e-07	570.273	703.303
0.00021299	2.22893e-08	576.18	651.207
0.000246057	2.01058e-08	449.735	477.396
0.000134275	3.66201e-08	473.302	573.733
0.00506228	3.08797e-07	788.746	811.483
0.00158073	5.42428e-07	559.81	752.705
0.00192541	7.48676e-07	186.506	231.625
0.00118822	3.87256e-07	688.299	943.819
0.000542246	8.09703e-08	780.176	808.117
0.000573562	1.32243e-07	638.969	778.068
0.000325763	9.23269e-08	525.44	671.716
0.000971627	1.02516e-07	403.04	749.728
0.000142125	4.05625e-08	290.095	604.806
1.99068e-05	4.4985e-09	168.864	893.568
0.0131962	1.0907e-06	472.506	483.536
0.00031817	4.05968e-08	693.104	694.971
0.000821133	1.68097e-07	514.246	621.975
0.00177062	3.80144e-07	490.179	492.713
8.91597e-05	2.37601e-08	444.455	652.453
0.00771162	3.39355e-06	839.02	923.43
0.000186014	5.25125e-08	404.602	497.786
0.000776575	2.61025e-07	534.968	699.99
0.000308224	6.94704e-08	745.756	927.13
0.00205641	2.13737e-07	567.408	635.936
0.00197109	2.18063e-07	296.727	938.081
0.000407404	8.55429e-08	649.283	770.31
0.0018343	6.3616e-07	372.424	449.751
0.000174048	2.36313e-08	465.428	532.072
0.000190519	5.53609e-08	626.128	877.056
0.00167618	4.78348e-07	222.466	330.612
0.00378833	7.62109e-07	608.017	724.606
0.000364331	3.89451e-08	316.243	350.244
3.28059e-05	7.09446e-09	214.705	547.823
0.000660307	1.12628e-07	653.384	826.491
0.00126761	3.44942e-07	450.956	503.463
0.000669437	2.17168e-07	503.562	706.239
