Omega	Omega_err	mH1	mH2	mHc
0.00243387	0.000304854	745.974	890.303	944.876
0.000526967	0.00017542	857.625	875.919	937.324
6.85516e-05	1.01957e-05	485.47	622.698	667.887
0.000568656	0.000117062	626.23	794.5	688.489
0.000251166	1.60054e-05	286.04	501.409	438.207
0.0182879	0.00154601	554.112	554.122	581.973
0.00236145	0.000174857	590.925	870.432	878.138
0.00244794	0.00021527	561.909	609.658	565.119
0.00023557	7.48283e-05	861.111	959.685	975.283
0.000654016	9.98859e-05	438.411	471.822	512.693
9.70455e-06	1.3679e-05	375.239	888.03	895.075
0.000190207	1.48295e-05	220.228	359.74	380.234
0.00109531	0.000310033	764.11	784.243	823.028
0.0188688	0.00134387	895.325	895.417	921.555
7.20488e-05	2.44162e-05	446.593	527.603	547.008
8.15511e-05	1.22931e-05	495.202	645.367	628.705
0.000640238	7.11487e-05	331.594	406.309	433.645
0.0649904	0.0372707	440.657	442.112	445.76
0.00197992	0.000276365	458.775	614.882	643.849
0.00288225	0.000397057	761.268	877.983	949.277
0.0043211	0.000242231	410.954	415.404	467.11
0.000233729	2.07249e-05	414.053	631.838	676.636
0.00808217	0.000457099	925.411	933.341	984.959
0.000385536	3.3151e-05	238.074	329.562	387.198
0.0014646	0.000276073	624.977	696.568	707.765
0.000423952	9.50645e-05	669.946	753.138	732.513
0.000376078	2.66846e-05	398.786	510.738	457.614
0.00629815	0.000746498	682.588	706.957	694.422
0.000262568	8.11681e-05	747.834	760.8	814.823
0.000146065	2.4292e-05	534.238	773.906	802.794
0.000471833	0.000140566	674.679	695.022	729.291
0.000963791	0.00014021	540.355	601.54	629.732
0.00304463	0.000117613	354.609	747.546	783.658
0.000740992	0.000115146	723.604	910.289	873.723
0.000187603	2.44354e-05	426.866	587.065	680.739
0.00112223	0.000156249	551.404	558.337	616.905
0.000898767	0.00015466	388.003	427.213	408.134
0.000268391	4.24544e-05	572.646	843.327	845.903
0.00488612	0.000485812	644.502	644.504	680.748
0.00132528	0.000241534	602.392	606.117	659.906
0.0514375	0.00214972	654.592	873.211	829.099
0.00568847	0.000420981	417.012	425.272	472.215
0.00259721	0.000378674	607.118	631.929	657.378
0.00013187	2.96753e-05	633.756	875.319	845.434
7.89327e-05	1.0663e-05	434.448	997.316	995.013
0.000652051	0.000106425	507.534	627.815	555.058
0.000168928	4.42955e-05	639.439	694.436	709.513
0.000825957	0.000126276	548.889	552.788	617.668
0.000113649	3.18299e-05	656.641	920.618	944.349
7.69599e-05	3.70211e-05	183.495	592.944	600.047
0.00089806	7.64424e-05	417.898	660.156	627.821
0.000451562	4.86534e-05	430.916	571.15	497.038
0.00242905	0.000352312	512.981	535.28	548.915
0.0131071	0.000599956	567.815	679.337	738.333
0.016526	0.000298026	786.893	893.238	827.117
0.00011007	2.60102e-05	523.611	754.605	691.691
0.00390655	0.00014938	115.925	258.631	183.587
0.00328996	0.000284759	573.344	573.383	653.265
0.000483811	0.00010247	660.829	669.699	750.3
0.00306245	0.000606031	661.709	718.04	763.564
0.00120447	8.11395e-05	463.318	893.845	825.028
0.000242503	4.70259e-05	792.472	914.893	949.054
0.00255068	0.000190087	384.68	412.97	436.523
0.000967584	0.000102892	306.406	405.627	351.51
0.000116163	1.32789e-05	290.161	578.937	543.044
0.000950173	0.000150456	425.693	471.098	441.226
9.2591e-05	9.69364e-06	331.204	815.489	681.168
0.000142961	2.28911e-05	465.329	669.148	655.758
6.92928e-05	7.22988e-05	659.48	805.212	778.493
0.00138225	0.000112259	191.767	245.657	268.749
0.0229791	0.00480138	568.059	571.946	588.127
0.00390686	0.000186012	716.162	826.459	744.672
0.0019365	0.000268702	327.499	354.462	352.707
0.000854837	0.000131258	730.695	879.156	854.642
0.000329837	3.272e-05	466.348	810.474	825.491
0.00470906	0.000214126	464.575	794.16	831.69
1.42964e-06	1.308e-06	198.504	665.588	687.244
0.00721682	0.000625674	336.363	336.365	378.001
0.0022697	0.000158325	298.573	403.011	323.624
0.00239051	0.000291664	549.578	625.594	607.111
0.00290195	0.000234564	673.177	690.167	680.735
0.000682196	4.73846e-05	286.821	437.827	451.711
3.7055e-05	1.72008e-05	305.672	479.174	552.98
0.00038173	3.94016e-05	207.614	220.497	346.686
0.000504247	5.44333e-05	527.426	946.847	902.595
0.000363395	0.000112365	754.55	802.06	831.475
0.000168331	4.32382e-05	534.5	605.75	585.779
0.00657951	0.00238681	473.977	491.945	501.573
0.00010713	4.64461e-05	671.929	924.649	881.704
0.000125285	1.49069e-05	452.654	832.674	764.446
1.53631e-06	1.08227e-06	140.163	460.08	454.742
0.000758595	7.08253e-05	322.494	474.36	329.702
0.00181216	0.000247734	558.263	638.239	573.355
0.000148093	1.77908e-05	273.121	573.868	632.906
0.000195415	3.01404e-05	453.579	503.878	551.451
0.000836073	0.000235365	743.331	760.744	791.352
0.000652678	6.47425e-05	317.674	434.521	401.233
0.000577152	0.000168775	605.84	625.768	637.539
0.000252661	1.29363e-05	289.889	366.269	350.301
0.000236449	2.35048e-05	406.464	535.731	567.037
9.92098e-05	2.78533e-05	507.543	650.333	613.451
0.00039069	5.15167e-05	493.419	824.708	818.489
0.000104107	1.17722e-05	401.496	521.294	590.514
7.45565e-05	8.30593e-06	424.261	579.631	621.658
0.00217093	0.000232576	254.797	295.46	285.225
0.000102849	1.06648e-05	350.128	515.523	445.486
0.000125138	2.68776e-05	533.908	638.86	602.77
0.000799075	0.000210165	676.643	684.536	714.581
0.000369808	9.05311e-05	798.965	798.97	873.147
0.00020198	6.38812e-05	798.814	930.075	901.445
0.000102562	2.80299e-05	788.754	967.301	987.996
0.000870339	0.000133001	547.348	692.622	624.101
0.000154104	3.7426e-05	559.137	661.167	603.863
0.00121323	0.000263509	869.29	919.666	914.292
0.000850343	0.000176842	834.779	940.169	920.694
0.000365255	0.000138069	826.722	866.264	899.73
0.000162562	1.16173e-05	261.396	540.321	555.92
0.00219699	0.000149792	193.351	507.484	519.427
0.000355371	4.2526e-05	530.18	822.438	828.074
0.000311784	0.000100742	805.614	901.643	883.051
0.000107885	1.42516e-05	371.708	546.383	549.497
0.00159047	0.000371356	889.259	958.951	949.779
0.00216461	0.000205406	740.127	885.475	912.598
0.000374229	6.26456e-05	341.925	415.224	394.19
0.000727849	9.56146e-05	655.843	944.187	933.851
0.000344659	0.00010845	648.912	661.997	735.472
0.000580167	3.21093e-05	280.374	586.814	568.85
0.00100169	0.000152569	492.754	641.946	638.082
0.000233746	2.53395e-05	538.692	735.986	760.325
0.000261327	4.77356e-05	464.953	478.859	559.604
0.00044718	4.6817e-05	434.497	575.625	569.827
0.000453759	4.2128e-05	422.522	559.404	527.259
0.00391387	0.000277094	587.831	753.256	775.042
0.000797449	7.18091e-05	313.173	469.786	450.927
