Omega	Omega_err	mH1	mH2
0.00242995	9.06368e-06	745.974	890.303
0.000526585	4.22354e-07	857.625	875.919
6.84467e-05	2.03412e-07	485.47	622.698
0.000567928	8.54272e-07	626.23	794.5
0.000250847	8.14012e-07	286.04	501.409
0.0182042	9.73514e-05	554.112	554.122
0.00235709	9.96105e-06	590.925	870.432
0.00244088	8.04152e-06	561.909	609.658
0.00023529	2.39143e-06	861.111	959.685
0.000653361	9.20391e-07	438.411	471.822
9.69175e-06	2.11971e-08	375.239	888.03
0.000189902	6.27633e-07	220.228	359.74
0.00109406	3.03575e-06	764.11	784.243
0.0188146	6.06092e-05	895.325	895.417
7.19675e-05	1.85406e-07	446.593	527.603
8.14312e-05	2.44066e-07	495.202	645.367
0.000639376	2.2081e-06	331.594	406.309
0.062454	0.000320373	440.657	442.112
0.00197677	8.39795e-06	458.775	614.882
0.00287742	1.28191e-05	761.268	877.983
0.0043109	1.63041e-05	410.954	415.404
0.000233396	7.79523e-07	414.053	631.838
0.00806602	3.54312e-05	925.411	933.341
0.000384929	1.33204e-06	238.074	329.562
0.00146281	1.63777e-06	624.977	696.568
0.000423463	5.5315e-07	669.946	753.138
0.000375576	8.9457e-07	398.786	510.738
0.00628253	1.79915e-05	682.588	706.957
0.000262289	3.61865e-07	747.834	760.8
0.000145843	4.73541e-07	534.238	773.906
0.000471355	4.86317e-07	674.679	695.022
0.000962617	1.68979e-06	540.355	601.54
0.00303904	1.3576e-05	354.609	747.546
0.000740013	2.37155e-06	723.604	910.289
0.000187296	6.23954e-07	426.866	587.065
0.00112093	2.39251e-06	551.404	558.337
0.000897695	1.3632e-06	388.003	427.213
0.000268013	9.05422e-07	572.646	843.327
0.00487783	1.19076e-05	644.502	644.504
0.00132411	1.83819e-06	602.392	606.117
0.0513547	0.000269148	654.592	873.211
0.00567591	2.1265e-05	417.012	425.272
0.0025947	3.47196e-06	607.118	631.929
0.00013166	4.11356e-07	633.756	875.319
7.88198e-05	2.43992e-07	434.448	997.316
0.000651209	1.09606e-06	507.534	627.815
0.0001687	1.21325e-06	639.439	694.436
0.000824773	1.67266e-06	548.889	552.788
0.0001135	3.41522e-07	656.641	920.618
7.68619e-05	2.04065e-07	183.495	592.944
0.000896553	3.50772e-06	417.898	660.156
0.000450924	1.19032e-06	430.916	571.15
0.00242435	1.27531e-05	512.981	535.28
0.0130872	5.34032e-05	567.815	679.337
0.016439	0.000369807	786.893	893.238
0.000109896	3.42009e-07	523.611	754.605
0.00389863	2.10266e-05	115.925	258.631
0.00328368	1.25889e-05	573.344	573.383
0.00048333	1.01017e-06	660.829	669.699
0.00305824	6.35561e-06	661.709	718.04
0.00120239	4.93888e-06	463.318	893.845
0.000242229	5.11792e-07	792.472	914.893
0.00254695	4.02603e-06	384.68	412.97
0.000966362	2.65471e-06	306.406	405.627
0.000116002	3.53346e-07	290.161	578.937
0.000948935	1.64403e-06	425.693	471.098
9.24471e-05	2.84023e-07	331.204	815.489
0.000142744	4.58567e-07	465.329	669.148
6.92102e-05	1.63794e-07	659.48	805.212
0.00138022	5.36973e-06	191.767	245.657
0.0228501	9.08902e-05	568.059	571.946
0.00389404	4.24513e-05	716.162	826.459
0.00193343	4.66582e-06	327.499	354.462
0.000853788	2.1631e-06	730.695	879.156
0.000329415	1.11531e-06	466.348	810.474
0.00470094	2.17711e-05	464.575	794.16
1.42815e-06	2.59235e-09	198.504	665.588
0.00718852	3.18739e-05	336.363	336.365
0.00226572	5.95608e-06	298.573	403.011
0.0023875	3.15113e-06	549.578	625.594
0.00289337	1.7431e-05	673.177	690.167
0.000681111	2.49041e-06	286.821	437.827
3.69995e-05	9.83725e-08	305.672	479.174
0.000381303	6.87955e-07	207.614	220.497
0.000503542	1.82752e-06	527.426	946.847
0.000362868	2.00296e-06	754.55	802.06
0.000168058	1.46419e-06	534.5	605.75
0.00656661	8.7858e-06	473.977	491.945
0.000106979	3.17945e-07	671.929	924.649
0.000125108	3.95255e-07	452.654	832.674
1.53423e-06	3.04438e-09	140.163	460.08
0.000757352	1.77172e-06	322.494	474.36
0.00180988	3.46844e-06	558.263	638.239
0.000147905	4.53672e-07	273.121	573.868
0.000195191	3.90413e-07	453.579	503.878
0.000835058	1.35289e-06	743.331	760.744
0.000651851	2.27002e-06	317.674	434.521
0.000576664	7.44249e-07	605.84	625.768
0.000252334	7.26107e-07	289.889	366.269
0.000236121	7.79093e-07	406.464	535.731
9.90574e-05	2.84621e-07	507.543	650.333
0.000390156	1.36003e-06	493.419	824.708
0.00010394	3.23001e-07	401.496	521.294
7.44548e-05	2.22447e-07	424.261	579.631
0.00216809	2.81026e-06	254.797	295.46
0.000102714	3.02363e-07	350.128	515.523
0.00012499	2.08351e-07	533.908	638.86
0.000798222	1.15764e-06	676.643	684.536
0.000369395	6.46128e-07	798.965	798.97
0.000201792	2.36709e-07	798.814	930.075
0.000102441	2.79401e-07	788.754	967.301
0.000869203	2.16998e-06	547.348	692.622
0.000153854	1.22362e-06	559.137	661.167
0.00121197	2.11007e-06	869.29	919.666
0.000849294	7.73536e-06	834.779	940.169
0.000364762	1.55081e-06	826.722	866.264
0.00016227	5.33519e-07	261.396	540.321
