Omega	Omega_err	MA1	svev	alpha
1.96065e-06	5.03526e-09	407.691	473.485	-0.266107
0.000204882	4.39084e-07	403.843	373.657	-0.0753885
0.0112846	1.47076e-05	975.986	410.265	0.117033
0.000941336	1.19707e-06	338.495	706.954	-0.188005
0.00636066	8.75455e-06	863.546	259.015	0.160706
0.00447295	4.56403e-06	221.807	929.953	-0.153529
0.000198387	3.94254e-07	599.036	456.001	0.31648
0.0445744	4.31557e-05	94.8119	682.541	-0.238964
0.0384783	4.48906e-05	751.035	865.266	-0.103315
0.0297181	3.50074e-05	837.143	440.515	0.113952
0.0162084	1.63048e-05	85.3922	412.105	-0.331603
0.0107557	1.16066e-05	95.0279	339.799	0.263768
0.000702351	8.01171e-07	210.381	351.273	0.163475
0.0124823	1.62813e-05	655.527	791.776	-0.121507
0.0454812	5.13806e-05	844.931	465.53	0.0140659
0.00111002	1.86771e-06	620.388	883.923	0.295532
0.0950057	8.97428e-05	98.3452	399.018	-0.0924427
0.000564491	9.79534e-07	565.419	309.813	-0.270686
0.0598599	7.52099e-05	173.853	585.973	0.0545812
0.00755124	9.92479e-06	649.69	375.827	-0.211006
0.00763486	1.06329e-05	863.079	981.257	0.1798
0.00142451	2.16141e-06	320.911	465.667	0.197944
0.0543796	5.88815e-05	260.484	310.068	0.0575105
0.0122881	1.61385e-05	900.29	994.375	-0.270001
0.0790261	8.74122e-05	319.09	672.803	-0.242644
0.00425163	5.46532e-06	262.639	159.459	-0.134421
0.0555936	6.0833e-05	752.119	526.815	-0.159513
0.0096494	1.29342e-05	733.363	451.365	-0.0953043
0.00122857	2.04948e-06	987.5	353.979	0.194767
0.00941306	1.28235e-05	335.916	803.691	0.124371
0.000553463	1.00867e-06	648.196	540.094	0.218692
0.116475	0.000107648	567.383	558.833	-0.0521287
0.0372914	4.45187e-05	864.153	929.011	-0.0848907
0.00466813	6.1672e-06	678.038	272.835	0.0983061
0.00526026	7.31234e-06	750.627	56.4619	1.33481
0.00755232	1.04159e-05	829.194	983.402	0.273091
0.0322639	3.00747e-05	113.812	863.751	0.199982
0.00304756	4.55593e-06	986.821	358.417	-0.245637
0.010699	1.15865e-05	114.335	279.216	-0.172941
0.000830587	1.38432e-06	847.895	224.386	0.177059
0.00182604	2.7461e-06	703.918	224.781	0.146163
0.00796539	1.07546e-05	641.825	697.859	-0.21566
0.000300329	2.83876e-07	315.24	442.115	-0.126459
0.0259556	2.66191e-05	113.996	660.91	-0.258206
0.000184975	2.56611e-07	362.251	374.963	0.216155
0.00115545	1.94399e-06	943.44	419.07	-0.287839
0.000109164	1.5426e-07	271.295	222.159	-0.262665
0.00222578	3.28487e-06	173.984	331.512	0.179901
0.0143854	1.62529e-05	423.937	268.561	-0.0153284
0.0272336	3.27847e-05	699.47	267.602	0.0261988
0.00618266	8.20114e-06	274.631	215.484	-0.126504
0.00214731	2.85645e-06	372.96	160.082	-0.110502
0.00942192	1.26999e-05	704.15	621.691	0.113355
0.0101669	1.28114e-05	711.09	342.56	-0.0871008
0.00425184	6.18406e-06	735.835	451.08	-0.159675
0.00414828	6.12279e-06	992.358	525.961	0.168797
0.00537911	6.12678e-06	183.082	376.43	-0.123008
0.0451473	4.69825e-05	644.988	469.252	-0.0486479
0.00142775	2.35349e-06	699.978	422.835	-0.124403
0.00420822	6.06199e-06	802.594	478.199	-0.264678
0.00274492	4.2442e-06	941.311	729.155	-0.295812
0.0894908	9.58159e-05	853.692	220.094	-0.0101797
0.0425815	4.25351e-05	138.789	746.534	-0.125868
0.0758505	7.30573e-05	113.516	936.064	0.216139
0.0559871	6.52233e-05	280.851	609.821	0.164009
0.00228494	2.77911e-06	176.304	294.462	0.204227
0.000248037	4.80013e-07	506.498	453.018	0.1743
4.70756e-05	2.85408e-08	295.202	957.911	-0.164525
0.0135915	1.68021e-05	525.551	264.204	0.302865
0.0586662	6.51707e-05	649.561	869.534	0.0939504
0.00396225	5.91352e-06	548.611	553.658	-0.0796941
0.00563285	7.78644e-06	480.726	463.807	0.136698
0.0125462	1.54328e-05	658.213	414.211	-0.128358
0.0131073	1.74658e-05	296.275	856.242	0.133511
0.0596125	5.56739e-05	574.338	422.962	-0.0475001
0.00789061	8.64172e-06	153.698	258.026	0.0795347
0.00606998	8.42588e-06	928.815	484.285	-0.188553
0.039861	4.63237e-05	951.701	446.618	0.0746911
0.00683808	9.53172e-06	928.586	456.012	-0.114422
0.0026747	3.64756e-06	756.056	228.912	0.0965036
0.00112778	1.83424e-06	464.303	481.427	-0.172058
0.00543823	7.78172e-06	792.775	763.653	-0.200765
9.89526e-07	1.03939e-08	169.42	734.037	-0.146665
0.000122091	1.61491e-07	419.259	540.101	-0.221708
0.0596278	6.93344e-05	428.722	734.574	0.0390343
0.0469935	4.57807e-05	97.5165	445.143	0.140297
0.0718096	7.17514e-05	157.067	851.23	-0.104238
0.00885925	1.17799e-05	638.947	634.236	0.198751
0.00401466	5.70056e-06	736.545	210.658	-0.199183
0.00347386	5.3791e-06	494.377	787.344	0.0847587
0.00215835	3.38149e-06	779.004	553.888	0.23593
0.00785351	9.77255e-06	631.554	287.392	-0.0367971
0.0532798	6.00655e-05	840.331	997.572	0.147134
0.0105485	1.15929e-05	161.422	579.357	0.164564
0.0448337	4.49616e-05	177.643	455.871	-0.0514368
0.000925008	1.59593e-06	804.286	360.865	-0.166567
0.00987936	1.33794e-05	907.139	698.022	-0.138891
0.000837688	9.71324e-07	240.318	322.449	0.118317
0.00108222	1.38914e-06	292.19	596.488	-0.244881
0.0437081	4.841e-05	752.197	495.792	-0.0626934
0.0132401	1.64491e-05	554.054	271.203	-0.338167
0.00502229	5.7517e-06	260.217	852.977	-0.159711
0.00908657	1.1916e-05	294.744	152.903	-0.0364908
0.000544444	2.57429e-07	264.963	847.664	0.149324
9.88164e-05	1.55307e-07	238.003	47.2106	-1.07723
0.000747011	1.25323e-06	652.496	70.2845	0.252617
0.0098355	1.33005e-05	913.997	782.18	0.183452
0.000258338	4.38045e-07	409.768	126.071	-0.237912
