Omega	Omega_err	MA1	MS1	svev	alpha
0.000300653	2.30417e-05	453.208	733.293	843.489	0.515777
9.37651e-05	2.46292e-05	885.611	218.407	35.23	0.924182
0.00189856	9.76729e-05	487.501	718.936	734.141	0.206891
2.98812	0.029994	947.406	191.075	820.529	0.581544
0.000383466	2.61096e-05	449.004	460.368	154.609	-1.14821
0.0527301	0.00121129	814.886	868.547	950.956	1.47092
0.00433533	0.000344628	434.465	125.104	100.344	0.0211465
0.089454	0.00355411	608.524	206.717	331.467	0.477216
0.0727316	0.00176067	890.011	365.309	316.763	-1.35531
0.00557025	0.000230233	533.716	586.978	862.905	1.13663
0.312558	0.0113541	355.915	273.206	428.229	-1.49673
1.16817e-05	1.58263e-06	414.281	826.203	708.977	-0.512007
0.00152358	7.1978e-05	336.571	430.199	472.064	1.09357
0.000360509	1.4783e-05	348.746	874.172	816.486	-1.04211
5.25203	0.0426445	949.276	55.2338	675.343	0.814058
0.000666347	2.14904e-05	211.951	704.394	411.614	0.376292
0.0136731	0.000323995	119.704	546.024	688.681	-1.21488
0.000472421	4.12506e-06	183.002	412.475	975.117	0.361003
0.24676	0.0308865	635.681	362.454	638.847	-0.0386887
0.0465344	0.00128498	238.658	316.619	824.883	-1.3964
0.0818177	0.00386838	696.818	697.918	903.703	0.0880655
0.21746	0.00380058	622.09	384.203	696.622	-1.41175
0.141965	0.0036513	389.436	248.697	809.939	0.423646
0.000775341	0.000170275	903.091	898.697	255.373	0.179376
0.0381131	0.000938668	494.721	630.932	670.718	-1.49123
0.00968507	0.000218108	93.407	300.851	640.598	0.445837
4.05214e-06	2.64058e-06	613.305	908.877	130.47	0.625134
0.000216801	7.0175e-06	275.496	642.295	754.744	1.05405
0.505187	0.0275601	390.213	103.878	364.183	1.47416
5.11762e-06	1.08267e-06	438.081	796.652	20.8446	-1.52785
0.0122903	0.00029556	95.349	862.834	648.872	0.968719
1.91669	0.0308484	811.532	82.2542	366.084	1.56535
1.45621e-07	1.07925e-06	663.187	647.449	24.5705	-0.501773
21.6254	0.150425	898.3	150.615	982.213	0.721148
0.000187828	1.81333e-05	109.492	214.73	429.106	0.215043
0.000886496	7.51439e-05	807.025	740.76	404.561	-0.576
0.0144197	0.00060558	794.638	325.18	286.606	-0.882304
0.000180857	7.71075e-06	171.833	843.211	233.591	-0.758453
0.00010323	2.77981e-05	756.045	439.142	67.8627	-0.987222
0.00512771	0.000601253	471.396	236.856	184.84	0.410419
0.00282386	0.000155975	834.305	907.804	970.95	-1.10101
0.00761451	0.000179433	108.419	326.858	879.206	0.986479
0.000162474	1.5823e-05	491.588	757.779	383.074	-1.15921
0.000369498	3.25947e-05	548.539	710.202	448.218	-0.52844
0.0236514	0.000471364	85.3824	755.393	551.395	-0.372883
0.00192988	0.000114287	648.604	686.133	640.245	-1.02201
0.00250614	6.90697e-05	175.274	540.018	361.08	-0.158306
0.0113328	0.000459654	726.875	96.0538	81.1697	0.337443
0.0315389	1.78098e-05	53.8582	622.429	757.191	0.388092
0.00489229	0.000245784	899.287	787.996	438.102	-1.35341
0.000600577	5.991e-05	595.775	633.088	201.01	-0.206386
0.0241769	0.000700511	393.29	335.339	766.332	-1.06705
0.0146732	0.000465262	140.733	213.386	542.114	-0.24898
0.000629978	6.14513e-05	849.519	910.284	595.835	0.835443
0.0539158	0.00192237	500.303	316.21	216.324	-1.48425
0.00351556	0.000139358	362.264	402.717	635.325	-0.777798
0.491246	0.0014926	75.1458	332.143	876.077	-0.467322
0.0236378	0.00065699	170.139	608.589	421.024	1.48155
0.030065	0.00110699	291.677	204.795	406.491	0.753683
0.0138254	0.000461019	490.135	447.718	900.353	0.471124
1.03611e-05	5.20345e-06	611.104	649.527	71.6398	0.282281
0.0369384	0.00670215	609.811	564.189	356.427	0.0370834
1.06414	0.0147989	830.4	206.881	539.813	-1.18643
0.0269533	0.000915344	559.598	275.648	375.393	-0.898273
0.000129501	1.73778e-05	557.791	937.186	565.752	0.29581
0.000100577	1.58222e-05	595.774	924.484	566.185	0.621095
1.61777e-05	1.51592e-06	179.279	354.073	438.168	1.17793
0.00475252	0.000223441	751.791	586.058	525.384	0.416833
3.41064e-07	5.72405e-08	285.585	570.485	223.312	-0.304053
