Omega	MA1	MS1	alpha	svev
0.000304535	453.208	733.293	0.515777	843.489
9.30049e-05	885.611	218.407	0.924182	35.23
0.0019156	487.501	718.936	0.206891	734.141
2.97428	947.406	191.075	0.581544	820.529
0.000388133	449.004	460.368	-1.14821	154.609
0.0529111	814.886	868.547	1.47092	950.956
0.004296	434.465	125.104	0.0211465	100.344
0.089141	608.524	206.717	0.477216	331.467
0.0725799	890.011	365.309	-1.35531	316.763
0.00563531	533.716	586.978	1.13663	862.905
0.313225	355.915	273.206	-1.49673	428.229
1.20193e-05	414.281	826.203	-0.512007	708.977
0.00154568	336.571	430.199	1.09357	472.064
0.000367823	348.746	874.172	-1.04211	816.486
5.23078	949.276	55.2338	0.814058	675.343
0.000638453	211.951	704.394	0.376292	411.614
0.0136358	119.704	546.024	-1.21488	688.681
0.00044406	183.002	412.475	0.361003	975.117
0.244409	635.681	362.454	-0.0386887	638.847
0.0456964	238.658	316.619	-1.3964	824.883
0.0819606	696.818	697.918	0.0880655	903.703
0.218255	622.09	384.203	-1.41175	696.622
0.143159	389.436	248.697	0.423646	809.939
0.000772601	903.091	898.697	0.179376	255.373
0.0387569	494.721	630.932	-1.49123	670.718
0.00963376	93.407	300.851	0.445837	640.598
4.04995e-06	613.305	908.877	0.625134	130.47
0.000224761	275.496	642.295	1.05405	754.744
0.500057	390.213	103.878	1.47416	364.183
5.15752e-06	438.081	796.652	-1.52785	20.8446
0.0122323	95.349	862.834	0.968719	648.872
1.89587	811.532	82.2542	1.56535	366.084
1.44653e-07	663.187	647.449	-0.501773	24.5705
21.4967	898.3	150.615	0.721148	982.213
0.000187273	109.492	214.73	0.215043	429.106
0.000887636	807.025	740.76	-0.576	404.561
0.0144063	794.638	325.18	-0.882304	286.606
0.000171471	171.833	843.211	-0.758453	233.591
0.000102792	756.045	439.142	-0.987222	67.8627
0.00510411	471.396	236.856	0.410419	184.84
0.00283054	834.305	907.804	-1.10101	970.95
0.00755747	108.419	326.858	0.986479	879.206
0.00016559	491.588	757.779	-1.15921	383.074
0.00037272	548.539	710.202	-0.52844	448.218
0.0236647	85.3824	755.393	-0.372883	551.395
0.00194384	648.604	686.133	-1.02201	640.245
0.00232803	175.274	540.018	-0.158306	361.08
0.0112285	726.875	96.0538	0.337443	81.1697
0.0533139	53.8582	622.429	0.388092	757.191
0.00489134	899.287	787.996	-1.35341	438.102
0.000601009	595.775	633.088	-0.206386	201.01
0.0244651	393.29	335.339	-1.06705	766.332
0.0145472	140.733	213.386	-0.24898	542.114
0.000630219	849.519	910.284	0.835443	595.835
0.0538417	500.303	316.21	-1.48425	216.324
0.0035622	362.264	402.717	-0.777798	635.325
0.724844	75.1458	332.143	-0.467322	876.077
0.0216039	170.139	608.589	1.48155	421.024
0.0301013	291.677	204.795	0.753683	406.491
0.0139329	490.135	447.718	0.471124	900.353
1.03017e-05	611.104	649.527	0.282281	71.6398
0.0366624	609.811	564.189	0.0370834	356.427
1.06111	830.4	206.881	-1.18643	539.813
0.0270842	559.598	275.648	-0.898273	375.393
0.000130529	557.791	937.186	0.29581	565.752
0.00010124	595.774	924.484	0.621095	566.185
1.56096e-05	179.279	354.073	1.17793	438.168
0.0047534	751.791	586.058	0.416833	525.384
3.72831e-07	285.585	570.485	-0.304053	223.312
0.00170692	184.675	458.936	1.20566	915.106
2.70908e-07	615.817	392.801	-1.51818	7.11579
0.000100557	618.449	766.524	-0.958485	231.589
0.0631215	753.71	369.334	-0.9556	789.275
0.0290479	343.817	348.016	-0.350865	893.63
0.00253931	652.089	759.354	-0.0939113	263.999
0.000365655	395.412	342.791	-0.160991	103.686
0.00550113	863.277	740.293	0.457267	852.12
0.00036317	249.229	531.903	-1.40341	529.797
0.000647789	874.704	320.765	1.09972	70.9591
0.000817403	137.289	800.618	0.150632	45.9113
0.00150036	219.952	623.565	1.19031	744.027
0.004369	921.581	527.419	0.0480655	267.936
14.9706	336.773	129.376	0.43169	985.421
1.94386e-06	422.168	894.324	0.635948	87.08
0.000188421	684.618	839.576	-0.574407	348.633
0.00665661	421.479	446.423	1.33988	371.07
0.00170915	717.187	789.354	-0.536922	776.772
0.00599817	639.972	608.73	1.06282	877.163
0.00109992	282.295	935.958	1.08184	717.477
0.00566464	513.377	360.561	-0.859134	360.301
0.000144761	439.937	905.096	1.04772	864.076
0.00115626	849.42	845.519	1.08945	536.393
0.000447385	735.095	530.946	0.293347	164.78
0.0967889	927.368	316.778	-1.02425	520.352
0.00041178	156.132	392.093	0.679125	503.56
0.382921	50.8229	294.505	0.859068	554.924
0.000420358	280.463	929.724	-0.757062	618.193
0.00282757	340.285	364.54	0.85116	486.063
0.245193	319.636	176.325	0.803626	604.828
0.551463	71.8437	739.876	-0.980681	602.983
0.0127304	320.821	320.978	0.896884	781.434
0.0160859	587.756	466.27	-0.704451	959.499
0.0182598	808.363	541.776	0.6768	991.947
3.5557	786.281	146.023	1.07926	489.393
0.000640346	125.747	579.297	-1.33782	103.457
0.100081	893.837	454.573	-0.293103	845.247
3.6169e-05	580.898	738.581	-0.825635	163.342
0.0900425	528.456	235.622	0.358635	425.607
0.00666888	506.6	373.192	1.04468	400.245
0.0166287	789.462	140.212	-1.24143	109.189
0.0890349	631.988	328.239	0.516006	820.453
0.00555427	424.262	599.314	-0.110764	508.282
14745.4	228.611	395.596	3.35659e-05	539.364
46.9354	800.168	112.296	-1.14337	906.806
0.00201882	800.876	768.45	-0.240625	373.873
0.00369153	54.0722	443.487	-0.421209	38.5264
0.0050416	766.68	326.078	0.0372539	199.258
0.00566592	416.29	443.275	0.370505	617.082
0.00249037	721.514	760.977	-1.40227	282.903
1.62218	410.291	101.559	-1.06194	518.867
0.00281889	447.154	561.828	0.310327	662.322
5.98974	624.123	147.272	-0.707477	735.099
0.0563103	865.722	712.196	-0.0872683	698.512
1.73148	205.684	82.9426	1.29083	838.309
0.754291	359.021	85.496	1.47433	423.318
6.03447e-05	478.771	832.472	0.786484	587.641
0.061921	643.449	340.136	-0.87167	804.184
0.592801	391.694	91.8474	-1.38321	385.128
0.0181697	603.675	403.993	1.00827	658.833
3.1463e-06	501.265	764.561	-0.77563	96.6506
0.00830011	526.757	557.13	-0.289769	725.606
0.000162153	590.073	717.248	0.636839	319.328
1.01365	752.745	283.31	1.3931	672.333
0.00120123	165.783	497.993	-0.762655	694.089
0.000568044	788.129	827.862	0.904891	480.298
0.0241924	869.709	505.615	-0.943095	847.9
1.80027e-05	859.608	154.844	0.081626	21.726
0.0472433	869.404	503.98	-0.311109	779.313
0.345554	111.11	164.643	-0.187933	808.926
4.54507e-05	831.891	783.407	0.527728	143.748
0.00316882	116.717	324.68	0.469968	611.807
0.06056	772.674	397.952	-0.933753	906.928
0.00133385	275.813	804.704	0.386773	990.822
0.000197306	360.319	809.297	-1.06283	823.094
0.022401	914.141	470.089	-0.803103	687.986
0.0407415	924.069	458.663	1.16429	645.69
0.0263295	573.306	458.309	-1.448	311.474
0.0496558	291.715	336.639	-0.156393	707.362
0.0327045	611.319	55.9838	-0.494165	100.714
0.00307711	403.935	532.663	-0.230409	545.934
3.81385e-06	387.367	835.42	0.452908	50.7222
0.0125035	694.718	494.177	0.690057	806.051
0.0174881	914.266	598.416	0.554522	964.052
0.0339131	107.079	822.111	1.35555	547.569
1.22223e-05	330.42	659.878	0.455127	970.602
0.00172015	946.516	225.414	0.251799	95.995
7.30089e-06	231.397	471.499	0.376417	922.93
0.0156825	54.1622	136.623	0.297868	47.4291
1.01509	922.043	90.3521	-0.378634	239.74
0.0089312	534.529	106.831	0.582104	100.03
0.904475	655.247	868.024	-0.004205	362.438
0.00927427	740.135	410.646	0.741155	430.715
0.00706458	120.523	478.291	-1.32451	381.408
0.0177064	653.704	573.257	-1.33678	658.886
0.0224284	94.7562	716.703	1.16973	694.612
0.0120624	803.326	685.516	-1.40004	467.682
0.00319681	725.868	529.664	0.96122	434.397
0.000199349	586.494	817.749	-0.661839	491.764
0.365104	735.773	246.323	-0.726961	788.204
2.11348e-09	606.969	396.776	0.0904347	5.51356
0.129688	825.066	289.152	0.619566	607.573
0.198937	812.409	469.408	0.100429	771.931
0.00101253	236.111	834.307	1.24674	404.898
0.363715	569.823	396.531	-1.43313	951.253
0.128297	876.195	356.936	-0.538641	849.935
0.00684575	224.685	415.28	0.0442945	618.258
0.0145951	611.604	758.497	1.43277	782.918
0.534304	205.273	132.828	-0.807833	485.366
0.00353213	371.98	690.598	-1.46489	940.133
0.00099053	210.006	922.982	-0.927157	566.112
0.0310904	807.289	97.6379	-0.362621	102.625
0.0337203	444.169	300.361	-0.254427	428.965
0.0418651	607.297	378.891	-0.452514	747.811
0.00596811	744.171	637.484	0.984303	870.19
0.141953	445.981	278.806	-0.328909	769.609
0.000587953	361.635	570.413	0.353441	638.526
0.0391049	311.011	240.702	0.640936	646.568
9.54766	213.685	59.5582	-0.101172	908.984
0.201141	107.196	302.687	-1.49758	852.518
0.251763	553.048	220.889	0.00476599	442.875
0.00150343	549.779	704.784	-1.01109	857.62
6.49774e-05	392.268	734.767	-0.544716	991.482
0.0379728	63.5734	374.072	1.00618	722.195
4.73155	894.485	121.094	-0.435607	433.347
1.8286e-06	311.797	926.826	-0.853481	66.293
0.118116	936.384	543.645	-0.0855873	696.428
0.00537814	796.332	894.541	-1.41867	496.565
0.000652191	165.43	416.676	-0.351232	550.39
0.00112754	171.459	552.05	0.576688	566.793
0.00271368	336.817	708.884	0.0479156	11.1668
0.00113289	132.957	741.477	-0.522235	336.193
0.0574656	812.572	734.421	-1.47501	695.414
0.000133242	711.247	909.449	-1.13667	259.561
2.42253	503.094	146.304	0.689865	611.333
0.0157048	90.8449	336.158	-0.525602	768.246
0.117489	702.834	308.529	-1.0253	721.174
0.00344333	810.58	830.643	1.132	857.347
0.000514779	589.527	689.995	-1.05628	376.202
0.099318	481.472	223.386	0.602081	498.044
0.00133006	907.807	932.863	-0.54439	722.417
6.25624	892.312	118.261	0.590111	465.437
0.0810221	214.565	207.898	-0.190568	408.022
0.00502638	494.057	493.638	-0.85378	772.264
0.0505213	752.167	283.168	-0.883519	402.47
4.1858e-05	163.811	459.203	0.393562	80.0134
0.00236824	199.198	307.932	0.709782	789.26
0.25735	481.318	175.747	0.456125	418.162
0.00896217	158.609	443.126	-0.212494	971.933
0.000838337	511.387	524.866	-1.39305	121.079
0.0549105	682.764	291.16	0.61419	496.424
0.113213	734.798	343.047	-0.953575	923.812
0.017789	576.215	494.895	0.129034	415.82
