Omega	Omega_uncer	MA1	MS1	svev	alpha
0.11921	2.30792e-06	50	205	54.5282	0.2
0.119024	2.08631e-06	51	205	73.3582	0.2
0.119175	5.21789e-06	52	205	176.224	0.2
0.119306	3.51554e-06	53	205	486.228	0.2
0.119264	5.49918e-06	54	205	901.92	0.2
0.119288	4.66963e-06	55	205	1518.76	0.2
0.119696	3.24378e-06	56	205	2464.27	0.2
0.119143	1.91653e-06	57	205	3896.78	0.2
0.119379	4.73818e-06	58	205	6102.79	0.2
0.119672	1.85069e-06	59	205	9459.11	0.2
0.119806	3.17083e-06	60	205	14597.6	0.2
0.119885	3.28798e-06	61	205	22663.3	0.2
0.119946	4.27478e-06	62	205	36638.7	0.2
0.120389	1.22288e-06	63	205	991.54	0.2
0.120611	8.3172e-07	64	205	453.241	0.2
0.11902	1.45368e-06	65	205	311.603	0.2
0.119981	2.46537e-06	66	205	246.71	0.2
0.119842	1.63254e-06	67	205	207.896	0.2
0.119699	1.00533e-06	68	205	182.735	0.2
0.12099	1.67627e-06	69	205	166.811	0.2
0.120318	8.50642e-07	70	205	155.24	0.2
0.120166	2.2631e-06	71	205	149.236	0.2
0.120212	3.2311e-06	72	205	149.236	0.2
0.119772	2.44448e-06	73	205	156.762	0.2
0.119028	4.48807e-06	74	205	175.581	0.2
0.119566	3.95214e-06	75	205	212.395	0.2
0.119287	4.35218e-06	76	205	271.847	0.2
0.119821	5.4203e-06	77	205	364.719	0.2
0.119758	4.55149e-06	78	205	502.157	0.2
0.119728	4.84009e-06	79	205	707.832	0.2
0.119784	2.53525e-06	80	205	1015.02	0.2
0.119553	3.15081e-06	81	205	1228.7	0.2
0.119561	3.0652e-06	82	205	1433.86	0.2
0.119417	4.41445e-06	83	205	1681.36	0.2
0.119048	4.95899e-06	84	205	2013.37	0.2
0.119681	6.00027e-06	85	205	2493.08	0.2
0.119557	6.87189e-06	86	205	3161.78	0.2
0.119431	7.19522e-06	87	205	4097.81	0.2
0.119419	7.09124e-06	88	205	5390.24	0.2
0.119515	6.6746e-06	89	205	7148.62	0.2
0.119497	6.06626e-06	90	205	9507.85	0.2
0.119606	9.23758e-06	91	205	12629.2	0.2
0.119649	4.54701e-06	92	205	16807.6	0.2
0.119664	5.51469e-06	93	205	22244.2	0.2
0.119833	3.17582e-06	94	205	29367	0.2
0.119024	1.77309e-06	95	205	38492.8	0.2
0.119192	9.8204e-07	96	205	50561.5	0.2
0.119326	4.18676e-06	97	205	66270.2	0.2
0.119444	8.67588e-07	98	205	86798.7	0.2
0.119637	8.62628e-08	99	205	113837	0.2
0.119697	2.96813e-07	100	205	150013	0.2
0.119773	9.45173e-08	101	205	200294	0.2
0.119798	2.89107e-07	102	205	278399	0.2
0.120403	7.51779e-07	103	205	26618.3	0.2
0.120953	1.88258e-06	104	205	12574.6	0.2
0.120361	7.20863e-07	105	205	8546.77	0.2
0.120428	2.2213e-06	106	205	6563.42	0.2
0.120739	8.74641e-07	107	205	5363.68	0.2
0.119607	1.16488e-06	108	205	4523.34	0.2
0.120018	5.13825e-07	109	205	3940.15	0.2
0.119704	4.04319e-07	110	205	3486.03	0.2
0.120375	6.25203e-07	111	205	3142.22	0.2
0.120638	1.08592e-06	112	205	2859.43	0.2
0.120838	1.78314e-06	113	205	2625.16	0.2
0.120977	1.96849e-06	114	205	2427.88	0.2
0.119842	3.10173e-06	115	205	2247.26	0.2
0.12009	2.18636e-06	116	205	2104.56	0.2
0.120186	1.96782e-06	117	205	1979.02	0.2
0.120274	2.14807e-06	118	205	1869.43	0.2
0.120323	3.99115e-06	119	205	1772.97	0.2
0.120388	2.00272e-06	120	205	1688.57	0.2
0.120416	2.00661e-06	121	205	1615.18	0.2
0.120453	3.13064e-06	122	205	1552.95	0.2
0.120976	3.58295e-06	123	205	1506.07	0.2
0.120036	2.28987e-06	124	205	1464.83	0.2
0.120072	1.14865e-06	125	205	1452.36	0.2
0.120087	7.15759e-07	126	205	1435.83	0.2
0.120103	6.17755e-07	127	205	1406.2	0.2
0.120096	6.6905e-07	128	205	1373.61	0.2
0.120105	5.16078e-07	129	205	1340.38	0.2
0.120085	8.03109e-07	130	205	1307.34	0.2
0.120089	1.196e-06	131	205	1274.98	0.2
0.120092	1.59454e-06	132	205	1243.72	0.2
0.120095	2.05729e-06	133	205	1213.37	0.2
0.120096	7.00092e-07	134	205	1184.27	0.2
0.120123	7.58461e-07	135	205	1156.3	0.2
0.120098	1.01335e-06	136	205	1129.32	0.2
0.120124	1.2911e-06	137	205	1103.55	0.2
0.120124	1.64005e-06	138	205	1078.84	0.2
0.120124	1.59127e-06	139	205	1055	0.2
0.120123	2.66544e-06	140	205	1032.24	0.2
0.120123	1.05318e-06	141	205	1010.28	0.2
0.120147	1.09431e-06	142	205	989.32	0.2
0.120146	1.14531e-06	143	205	969.197	0.2
0.120146	1.22669e-06	144	205	949.76	0.2
0.120143	1.38164e-06	145	205	931.188	0.2
0.120158	1.66011e-06	146	205	913.301	0.2
0.12014	1.17114e-06	147	205	896.084	0.2
0.120164	1.14101e-06	148	205	879.594	0.2
0.120136	1.32785e-06	149	205	863.645	0.2
0.120159	1.85225e-06	150	205	848.413	0.2
0.120156	1.51349e-06	151	205	833.801	0.2
0.120153	2.28243e-06	152	205	819.716	0.2
0.120147	2.13983e-06	153	205	806.359	0.2
0.12014	2.80005e-06	154	205	793.709	0.2
0.120156	1.72046e-06	155	205	781.922	0.2
0.120145	2.37259e-06	156	205	770.899	0.2
0.120163	3.05763e-06	157	205	760.515	0.2
0.120153	3.26039e-06	158	205	750.707	0.2
0.120119	2.93454e-06	159	205	741.345	0.2
0.120106	2.83807e-06	160	205	732.6	0.2
0.120118	2.38386e-06	161	205	724.47	0.2
0.1201	2.86175e-06	162	205	717.04	0.2
0.120073	2.80047e-06	163	205	710.586	0.2
0.120069	2.56725e-06	164	205	705.121	0.2
0.12004	2.30193e-06	165	205	701.569	0.2
0.120044	1.72845e-06	166	205	697.529	0.2
0.12003	1.8284e-06	167	205	692.561	0.2
0.120028	1.95975e-06	168	205	687.357	0.2
0.120024	1.49289e-06	169	205	682.031	0.2
0.120019	1.48406e-06	170	205	676.659	0.2
0.120014	1.46147e-06	171	205	671.282	0.2
0.120009	1.42705e-06	172	205	665.924	0.2
0.120003	1.37161e-06	173	205	660.604	0.2
0.120968	1.30996e-06	174	205	657.969	0.2
0.120704	1.22299e-06	175	205	652.068	0.2
0.120635	1.11782e-06	176	205	646.718	0.2
0.120611	9.98682e-07	177	205	641.563	0.2
0.120598	8.65803e-07	178	205	636.51	0.2
0.120588	7.23875e-07	179	205	631.535	0.2
0.120579	1.05347e-06	180	205	626.633	0.2
0.120571	5.23152e-07	181	205	621.8	0.2
0.120562	4.64321e-07	182	205	617.036	0.2
0.120554	7.37637e-07	183	205	612.339	0.2
0.120545	8.41674e-07	184	205	607.712	0.2
0.120536	1.14053e-06	185	205	603.155	0.2
0.120528	1.37675e-06	186	205	598.665	0.2
0.120519	1.68019e-06	187	205	594.243	0.2
0.120511	1.8982e-06	188	205	589.887	0.2
0.120502	2.39134e-06	189	205	585.596	0.2
0.120494	2.57337e-06	190	205	581.372	0.2
0.120485	1.09068e-06	191	205	577.212	0.2
0.120477	1.23807e-06	192	205	573.118	0.2
0.120468	1.44023e-06	193	205	569.086	0.2
0.12046	1.72542e-06	194	205	565.119	0.2
0.120451	1.27622e-06	195	205	561.216	0.2
0.120443	1.2953e-06	196	205	557.375	0.2
0.120435	1.37068e-06	197	205	553.597	0.2
0.120999	1.94772e-06	198	205	551.119	0.2
0.12052	1.67736e-06	199	205	546.453	0.2
0.120432	2.00534e-06	200	205	542.68	0.2
0.120972	2.45912e-06	201	205	540.298	0.2
0.120491	1.88406e-06	202	205	535.841	0.2
0.12098	2.54466e-06	203	205	533.459	0.2
0.120475	3.47927e-06	204	205	529.104	0.2
0.120945	2.01648e-06	205	205	526.821	0.2
0.120473	1.61681e-06	206	205	522.676	0.2
0.120923	1.31273e-06	207	205	520.458	0.2
0.120442	1.37339e-06	208	205	516.52	0.2
0.120871	1.77749e-06	209	205	514.495	0.2
0.120397	1.14834e-06	210	205	510.861	0.2
0.120761	1.00498e-06	211	205	509.029	0.2
0.120902	9.14478e-07	212	205	506.875	0.2
0.120935	8.16432e-07	213	205	504.644	0.2
0.120918	7.1196e-07	214	205	502.448	0.2
0.120879	6.13094e-07	215	205	500.34	0.2
0.12083	5.36319e-07	216	205	498.341	0.2
0.120778	5.08341e-07	217	205	496.457	0.2
0.12074	5.8563e-07	218	205	494.717	0.2
0.120696	8.5193e-07	219	205	493.074	0.2
0.120649	9.37332e-07	220	205	491.532	0.2
0.120604	1.15649e-06	221	205	490.089	0.2
0.120561	1.18795e-06	222	205	488.739	0.2
0.12052	1.42142e-06	223	205	487.478	0.2
0.120482	1.66885e-06	224	205	486.299	0.2
0.120446	1.92851e-06	225	205	485.198	0.2
0.120413	2.19508e-06	226	205	484.169	0.2
0.120955	7.21875e-07	227	205	484.169	0.2
0.12057	7.36025e-07	228	205	482.682	0.2
0.120419	7.58461e-07	229	205	481.617	0.2
0.120883	7.91152e-07	230	205	481.617	0.2
0.120522	8.24347e-07	231	205	480.284	0.2
0.120918	8.78076e-07	232	205	480.284	0.2
0.120512	2.17981e-06	233	205	478.957	0.2
0.1209	1.34269e-06	234	205	478.957	0.2
0.120472	1.3221e-06	235	205	477.712	0.2
0.120831	1.76569e-06	236	205	477.712	0.2
0.120437	2.81398e-06	237	205	476.538	0.2
