Omega	MA1	MS1	alpha	svev
0.11923	50	205	0.2	54.4804
0.119004	51	205	0.2	73.1979
0.119006	52	205	0.2	174.327
0.1192	53	205	0.2	484.773
0.119202	54	205	0.2	900.78
0.119299	55	205	0.2	1517.48
0.119675	56	205	0.2	2463.42
0.119104	57	205	0.2	3895.36
0.119415	58	205	0.2	6101.18
0.119643	59	205	0.2	9459.79
0.119797	60	205	0.2	14599.9
0.119897	61	205	0.2	22660.3
0.119951	62	205	0.2	36639.7
0.120392	63	205	0.2	991.557
0.120603	64	205	0.2	453.27
0.119009	65	205	0.2	311.62
0.119966	66	205	0.2	246.746
0.119839	67	205	0.2	207.909
0.119691	68	205	0.2	182.744
0.120977	69	205	0.2	166.802
0.119155	70	205	0.2	154.427
0.120168	71	205	0.2	149.207
0.120021	72	205	0.2	149.04
0.119783	73	205	0.2	156.719
0.119012	74	205	0.2	175.522
0.119591	75	205	0.2	212.348
0.119253	76	205	0.2	271.766
0.119837	77	205	0.2	364.712
0.119806	78	205	0.2	502.11
0.119771	79	205	0.2	707.734
0.119764	80	205	0.2	1014.77
0.11953	81	205	0.2	1228.39
0.119562	82	205	0.2	1433.89
0.119371	83	205	0.2	1681.84
0.119022	84	205	0.2	2015.1
0.119622	85	205	0.2	2498.41
0.119513	86	205	0.2	3172.04
0.11945	87	205	0.2	4115.7
0.119437	88	205	0.2	5417.42
0.119471	89	205	0.2	7187.4
0.11953	90	205	0.2	9566.6
0.1196	91	205	0.2	12736.7
0.119673	92	205	0.2	16918
0.11974	93	205	0.2	22400.1
0.119799	94	205	0.2	29568.9
0.119035	95	205	0.2	38761.8
0.119182	96	205	0.2	50910.6
0.119347	97	205	0.2	66741.2
0.119491	98	205	0.2	87422.4
0.119613	99	205	0.2	114647
0.119712	100	205	0.2	151089
0.119782	101	205	0.2	201765
0.119797	102	205	0.2	280541
0.119528	103	205	0.2	26522.5
0.119133	104	205	0.2	12478
0.119889	105	205	0.2	8529.79
0.120634	106	205	0.2	6569.05
0.120664	107	205	0.2	5361.78
0.11961	108	205	0.2	4523.33
0.119994	109	205	0.2	3939.67
0.1197	110	205	0.2	3485.99
0.120355	111	205	0.2	3141.82
0.120633	112	205	0.2	2859
0.120839	113	205	0.2	2624.79
0.120973	114	205	0.2	2427.43
0.119821	115	205	0.2	2246.91
0.11906	116	205	0.2	2094.91
0.119364	117	205	0.2	1971.92
0.119469	118	205	0.2	1862.84
0.119584	119	205	0.2	1767.24
0.119685	120	205	0.2	1683.43
0.119784	121	205	0.2	1610.66
0.119883	122	205	0.2	1548.97
0.119981	123	205	0.2	1499.39
0.120065	124	205	0.2	1464.8
0.120069	125	205	0.2	1452.18
0.120084	126	205	0.2	1435.54
0.120091	127	205	0.2	1405.95
0.120087	128	205	0.2	1373.38
0.120086	129	205	0.2	1340.13
0.120088	130	205	0.2	1307.15
0.120092	131	205	0.2	1274.89
0.120096	132	205	0.2	1243.58
0.120101	133	205	0.2	1213.34
0.120106	134	205	0.2	1184.22
0.12011	135	205	0.2	1156.23
0.120115	136	205	0.2	1129.35
0.120119	137	205	0.2	1103.56
0.120123	138	205	0.2	1078.79
0.120126	139	205	0.2	1055.03
0.12013	140	205	0.2	1032.23
0.120133	141	205	0.2	1010.36
0.120136	142	205	0.2	989.353
0.120138	143	205	0.2	969.177
0.120141	144	205	0.2	949.796
0.120143	145	205	0.2	931.168
0.120145	146	205	0.2	913.264
0.120147	147	205	0.2	896.052
0.120148	148	205	0.2	879.5
0.12015	149	205	0.2	863.594
0.120151	150	205	0.2	848.315
0.120152	151	205	0.2	833.661
0.120152	152	205	0.2	819.632
0.120152	153	205	0.2	806.255
0.120151	154	205	0.2	793.605
0.120148	155	205	0.2	781.807
0.120144	156	205	0.2	770.798
0.120141	157	205	0.2	760.417
0.120137	158	205	0.2	750.595
0.120132	159	205	0.2	741.314
0.120126	160	205	0.2	732.588
0.120118	161	205	0.2	724.466
0.120108	162	205	0.2	717.046
0.120093	163	205	0.2	710.499
0.120072	164	205	0.2	705.121
0.120044	165	205	0.2	701.53
0.12004	166	205	0.2	697.511
0.120038	167	205	0.2	692.571
0.120033	168	205	0.2	687.349
0.120026	169	205	0.2	682.011
0.12002	170	205	0.2	676.631
0.120014	171	205	0.2	671.249
0.120008	172	205	0.2	665.892
0.120002	173	205	0.2	660.573
0.119997	174	205	0.2	655.305
0.119991	175	205	0.2	650.094
0.119986	176	205	0.2	644.945
0.119981	177	205	0.2	639.86
0.119977	178	205	0.2	634.843
0.119972	179	205	0.2	629.895
0.119967	180	205	0.2	625.015
0.119963	181	205	0.2	620.205
0.119959	182	205	0.2	615.467
0.119955	183	205	0.2	610.798
0.119951	184	205	0.2	606.199
0.119947	185	205	0.2	601.668
0.119943	186	205	0.2	597.206
0.119939	187	205	0.2	592.812
0.119936	188	205	0.2	588.482
0.119932	189	205	0.2	584.22
0.119929	190	205	0.2	580.022
0.119925	191	205	0.2	575.89
0.119922	192	205	0.2	571.82
0.119919	193	205	0.2	567.815
0.119916	194	205	0.2	563.871
0.119913	195	205	0.2	559.987
0.11991	196	205	0.2	556.164
0.119907	197	205	0.2	552.402
0.119904	198	205	0.2	548.701
0.119901	199	205	0.2	545.061
