sqrts	xsec	
325.839	0	
325.846	1.41438e-05	
325.852	9.82117e-06	
325.859	7.97211e-06	
325.866	6.88429e-06	
325.873	6.14715e-06	
325.879	5.60543e-06	
325.886	5.18569e-06	
325.893	4.84811e-06	
325.9	4.56897e-06	
325.906	4.33315e-06	
325.913	4.1305e-06	
325.92	3.9539e-06	
325.927	3.79822e-06	
325.933	3.65963e-06	
325.94	3.53522e-06	
325.947	3.42272e-06	
325.954	3.32035e-06	
325.96	3.22667e-06	
325.967	3.14053e-06	
325.974	3.06096e-06	
325.981	2.98717e-06	
325.987	2.91848e-06	
325.994	2.85435e-06	
326.001	2.79428e-06	
326.008	2.73787e-06	
326.014	2.68476e-06	
326.021	2.63464e-06	
326.028	2.58724e-06	
326.035	2.54232e-06	
326.041	2.49968e-06	
326.048	2.45912e-06	
326.055	2.42049e-06	
326.061	2.38363e-06	
326.068	2.34842e-06	
326.075	2.31473e-06	
326.082	2.28247e-06	
326.088	2.25152e-06	
326.095	2.22181e-06	
326.102	2.19325e-06	
326.109	2.16577e-06	
326.115	2.13931e-06	
326.122	2.11381e-06	
326.129	2.0892e-06	
326.136	2.06544e-06	
326.142	2.04247e-06	
326.149	2.02027e-06	
326.156	1.99878e-06	
326.163	1.97796e-06	
326.169	1.95779e-06	
326.176	1.93823e-06	
326.183	1.91925e-06	
326.19	1.90083e-06	
326.196	1.88293e-06	
326.203	1.86553e-06	
326.21	1.84861e-06	
326.217	1.83214e-06	
326.223	1.81611e-06	
326.23	1.80051e-06	
326.237	1.7853e-06	
326.243	1.77047e-06	
326.25	1.75601e-06	
326.257	1.74191e-06	
326.264	1.72814e-06	
326.27	1.7147e-06	
326.277	1.70157e-06	
326.284	1.68874e-06	
326.291	1.67621e-06	
326.297	1.66395e-06	
326.304	1.65196e-06	
326.311	1.64022e-06	
326.318	1.62874e-06	
326.324	1.6175e-06	
326.331	1.60649e-06	
326.338	1.59571e-06	
326.345	1.58514e-06	
326.351	1.57479e-06	
326.358	1.56464e-06	
326.365	1.55468e-06	
326.372	1.54492e-06	
326.378	1.53534e-06	
326.385	1.52593e-06	
326.392	1.51671e-06	
326.399	1.50765e-06	
326.405	1.49875e-06	
326.412	1.49001e-06	
326.419	1.48143e-06	
326.426	1.47299e-06	
326.432	1.4647e-06	
326.439	1.45655e-06	
326.446	1.44854e-06	
326.452	1.44066e-06	
326.459	1.43291e-06	
326.466	1.42528e-06	
326.473	1.41778e-06	
326.479	1.4104e-06	
326.486	1.40313e-06	
326.493	1.39598e-06	
326.5	1.38894e-06	
326.506	1.382e-06	
326.513	1.37517e-06	
326.52	1.36845e-06	
326.527	1.36182e-06	
326.533	1.35529e-06	
326.54	1.34885e-06	
326.547	1.34251e-06	
326.554	1.33626e-06	
326.56	1.33009e-06	
326.567	1.32401e-06	
326.574	1.31802e-06	
326.581	1.31211e-06	
326.587	1.30628e-06	
326.594	1.30053e-06	
326.601	1.29485e-06	
326.608	1.28926e-06	
326.614	1.28373e-06	
326.621	1.27828e-06	
326.628	1.27289e-06	
326.635	1.26758e-06	
326.641	1.26233e-06	
326.648	1.25715e-06	
326.655	1.25204e-06	
326.661	1.24699e-06	
326.668	1.242e-06	
326.675	1.23707e-06	
326.682	1.2322e-06	
326.688	1.22739e-06	
326.695	1.22263e-06	
326.702	1.21794e-06	
326.709	1.21329e-06	
326.715	1.20871e-06	
326.722	1.20417e-06	
326.729	1.19969e-06	
326.736	1.19525e-06	
326.742	1.19087e-06	
326.749	1.18654e-06	
326.756	1.18226e-06	
326.763	1.17802e-06	
326.769	1.17383e-06	
326.776	1.16968e-06	
326.783	1.16558e-06	
326.79	1.16153e-06	
326.796	1.15751e-06	
326.803	1.15354e-06	
326.81	1.14961e-06	
326.817	1.14573e-06	
326.823	1.14188e-06	
326.83	1.13807e-06	
326.837	1.1343e-06	
326.843	1.13057e-06	
326.85	1.12688e-06	
326.857	1.12322e-06	
326.864	1.1196e-06	
326.87	1.11602e-06	
326.877	1.11247e-06	
326.884	1.10896e-06	
326.891	1.10548e-06	
326.897	1.10203e-06	
326.904	1.09862e-06	
326.911	1.09524e-06	
326.918	1.09189e-06	
326.924	1.08857e-06	
326.931	1.08529e-06	
326.938	1.08203e-06	
326.945	1.07881e-06	
326.951	1.07561e-06	
326.958	1.07245e-06	
326.965	1.06931e-06	
326.972	1.0662e-06	
326.978	1.06312e-06	
326.985	1.06006e-06	
326.992	1.05704e-06	
326.999	1.05404e-06	
327.005	1.05106e-06	
327.012	1.04812e-06	
327.019	1.04519e-06	
327.026	1.0423e-06	
327.032	1.03942e-06	
327.039	1.03658e-06	
327.046	1.03375e-06	
327.052	1.03095e-06	
327.059	1.02818e-06	
327.066	1.02542e-06	
327.073	1.02269e-06	
327.079	1.01998e-06	
327.086	1.0173e-06	
327.093	1.01463e-06	
327.1	1.01199e-06	
327.106	1.00937e-06	
327.113	1.00677e-06	
327.12	1.00419e-06	
327.127	1.00163e-06	
327.133	9.99094e-07	
327.14	9.96575e-07	
327.147	9.94077e-07	
327.154	9.91597e-07	
327.16	9.89137e-07	
327.167	9.86696e-07	
327.174	9.84273e-07	
327.181	9.81869e-07	
327.187	9.79483e-07	
327.194	9.77116e-07	
327.201	9.74766e-07	
327.208	9.72433e-07	
327.214	9.70118e-07	
327.221	9.6782e-07	
327.228	9.65539e-07	
327.235	9.63275e-07	
327.241	9.61027e-07	
327.248	9.58796e-07	
327.255	9.56581e-07	
327.261	9.54381e-07	
327.268	9.52198e-07	
327.275	9.5003e-07	
327.282	9.47877e-07	
327.288	9.4574e-07	
327.295	9.43618e-07	
327.302	9.4151e-07	
327.309	9.39417e-07	
327.315	9.37339e-07	
327.322	9.35275e-07	
327.329	9.33225e-07	
327.336	9.3119e-07	
327.342	9.29168e-07	
327.349	9.2716e-07	
327.356	9.25165e-07	
327.363	9.23184e-07	
327.369	9.21216e-07	
327.376	9.19261e-07	
327.383	9.1732e-07	
327.39	9.15391e-07	
327.396	9.13475e-07	
327.403	9.11571e-07	
327.41	9.0968e-07	
327.417	9.07801e-07	
327.423	9.05934e-07	
327.43	9.04079e-07	
327.437	9.02236e-07	
327.444	9.00405e-07	
327.45	8.98586e-07	
327.457	8.96778e-07	
327.464	8.94981e-07	
327.47	8.93196e-07	
327.477	8.91422e-07	
327.484	8.89659e-07	
327.491	8.87907e-07	
327.497	8.86166e-07	
327.504	8.84435e-07	
327.511	8.82715e-07	
327.518	8.81006e-07	
327.524	8.79307e-07	
327.531	8.77618e-07	
327.538	8.7594e-07	
327.545	8.74271e-07	
327.551	8.72613e-07	
327.558	8.70965e-07	
327.565	8.69326e-07	
327.572	8.67697e-07	
327.578	8.66078e-07	
327.585	8.64468e-07	
327.592	8.62867e-07	
327.599	8.61276e-07	
327.605	8.59694e-07	
327.612	8.58122e-07	
327.619	8.56558e-07	
327.626	8.55004e-07	
327.632	8.53458e-07	
327.639	8.51921e-07	
327.646	8.50393e-07	
327.652	8.48873e-07	
327.659	8.47362e-07	
327.666	8.4586e-07	
327.673	8.44366e-07	
327.679	8.4288e-07	
327.686	8.41403e-07	
327.693	8.39934e-07	
327.7	8.38473e-07	
327.706	8.37019e-07	
327.713	8.35574e-07	
327.72	8.34137e-07	
327.727	8.32708e-07	
327.733	8.31286e-07	
327.74	8.29872e-07	
327.747	8.28466e-07	
327.754	8.27067e-07	
327.76	8.25676e-07	
327.767	8.24292e-07	
327.774	8.22915e-07	
327.781	8.21546e-07	
327.787	8.20184e-07	
327.794	8.18829e-07	
327.801	8.17481e-07	
327.808	8.1614e-07	
327.814	8.14807e-07	
327.821	8.1348e-07	
327.828	8.1216e-07	
327.835	8.10847e-07	
327.841	8.0954e-07	
327.848	8.0824e-07	
327.855	8.06947e-07	
327.861	8.05661e-07	
327.868	8.04381e-07	
327.875	8.03107e-07	
327.882	8.0184e-07	
327.888	8.00579e-07	
327.895	7.99325e-07	
327.902	7.98077e-07	
327.909	7.96835e-07	
327.915	7.95599e-07	
327.922	7.94369e-07	
327.929	7.93145e-07	
327.936	7.91928e-07	
327.942	7.90716e-07	
327.949	7.8951e-07	
327.956	7.8831e-07	
327.963	7.87116e-07	
327.969	7.85928e-07	
327.976	7.84745e-07	
327.983	7.83568e-07	
327.99	7.82397e-07	
327.996	7.81231e-07	
328.003	7.80071e-07	
328.01	7.78916e-07	
328.017	7.77767e-07	
328.023	7.76623e-07	
328.03	7.75485e-07	
328.037	7.74351e-07	
328.044	7.73224e-07	
328.05	7.72101e-07	
328.057	7.70984e-07	
328.064	7.69872e-07	
328.07	7.68765e-07	
328.077	7.67663e-07	
328.084	7.66566e-07	
328.091	7.65474e-07	
328.097	7.64387e-07	
328.104	7.63305e-07	
328.111	7.62228e-07	
328.118	7.61156e-07	
328.124	7.60089e-07	
328.131	7.59026e-07	
328.138	7.57968e-07	
328.145	7.56915e-07	
328.151	7.55867e-07	
328.158	7.54823e-07	
328.165	7.53784e-07	
328.172	7.5275e-07	
328.178	7.5172e-07	
328.185	7.50695e-07	
328.192	7.49674e-07	
328.199	7.48657e-07	
328.205	7.47645e-07	
328.212	7.46638e-07	
328.219	7.45635e-07	
328.226	7.44636e-07	
328.232	7.43641e-07	
328.239	7.42651e-07	
328.246	7.41665e-07	
328.252	7.40683e-07	
328.259	7.39705e-07	
328.266	7.38732e-07	
328.273	7.37762e-07	
328.279	7.36797e-07	
328.286	7.35836e-07	
328.293	7.34879e-07	
328.3	7.33926e-07	
328.306	7.32977e-07	
328.313	7.32031e-07	
328.32	7.3109e-07	
328.327	7.30153e-07	
328.333	7.29219e-07	
328.34	7.2829e-07	
328.347	7.27364e-07	
328.354	7.26442e-07	
328.36	7.25524e-07	
328.367	7.24609e-07	
328.374	7.23699e-07	
328.381	7.22792e-07	
328.387	7.21888e-07	
328.394	7.20989e-07	
328.401	7.20092e-07	
328.408	7.192e-07	
328.414	7.18311e-07	
328.421	7.17426e-07	
328.428	7.16544e-07	
328.435	7.15666e-07	
328.441	7.14791e-07	
328.448	7.1392e-07	
328.455	7.13052e-07	
328.461	7.12187e-07	
328.468	7.11326e-07	
328.475	7.10468e-07	
328.482	7.09614e-07	
328.488	7.08763e-07	
328.495	7.07915e-07	
328.502	7.07071e-07	
328.509	7.0623e-07	
328.515	7.05392e-07	
328.522	7.04557e-07	
328.529	7.03726e-07	
328.536	7.02898e-07	
328.542	7.02073e-07	
328.549	7.01251e-07	
328.556	7.00432e-07	
328.563	6.99616e-07	
328.569	6.98804e-07	
328.576	6.97994e-07	
328.583	6.97188e-07	
328.59	6.96384e-07	
328.596	6.95584e-07	
328.603	6.94786e-07	
328.61	6.93992e-07	
328.617	6.932e-07	
328.623	6.92412e-07	
328.63	6.91626e-07	
328.637	6.90843e-07	
328.644	6.90064e-07	
328.65	6.89287e-07	
328.657	6.88513e-07	
328.664	6.87741e-07	
328.67	6.86973e-07	
328.677	6.86207e-07	
328.684	6.85444e-07	
328.691	6.84684e-07	
328.697	6.83927e-07	
328.704	6.83172e-07	
