Omega	Omega_err	MA1	svev	alpha
0.000300316	8.22793e-07	453.208	843.489	0.515777
9.36424e-05	2.59439e-07	885.611	35.23	0.924182
0.00189553	6.72492e-06	487.501	734.141	0.206891
2.98218	0.0225325	947.406	820.529	0.581544
0.000382897	1.27436e-06	449.004	154.609	-1.14821
0.0526297	0.000272171	814.886	950.956	1.47092
0.00432811	1.91574e-05	434.465	100.344	0.0211465
0.0892628	0.000529234	608.524	331.467	0.477216
0.0726017	0.000378068	890.011	316.763	-1.35531
0.00556049	2.39292e-05	533.716	862.905	1.13663
0.311862	0.00216913	355.915	428.229	-1.49673
1.16675e-05	2.03548e-08	414.281	708.977	-0.512007
0.00152103	5.44835e-06	336.571	472.064	1.09357
0.00035992	1.62299e-06	348.746	816.486	-1.04211
5.23825	0.0440775	949.276	675.343	0.814058
0.000665312	3.06425e-06	211.951	411.614	0.376292
0.0136458	8.74592e-05	119.704	688.681	-1.21488
0.000471204	1.8482e-06	183.002	975.117	0.361003
0.246243	0.00163298	635.681	638.847	-0.0386887
0.0464502	0.000231152	238.658	824.883	-1.3964
0.0816362	0.00045625	696.818	903.703	0.0880655
0.216986	0.00138117	622.09	696.622	-1.41175
0.141642	0.000912345	389.436	809.939	0.423646
0.000774279	2.51659e-06	903.091	255.373	0.179376
0.0380391	0.000193823	494.721	670.718	-1.49123
0.00966424	6.61985e-05	93.407	640.598	0.445837
4.04758e-06	8.18097e-09	613.305	130.47	0.625134
0.000216406	1.14425e-06	275.496	754.744	1.05405
0.503917	0.00385029	390.213	364.183	1.47416
5.11098e-06	1.15405e-08	438.081	20.8446	-1.52785
0.0122685	7.37598e-05	95.349	648.872	0.968719
1.91273	0.0143841	811.532	366.084	1.56535
1.4545e-07	2.37197e-10	663.187	24.5705	-0.501773
21.5641	0.215532	898.3	982.213	0.721148
0.000187718	1.43525e-07	109.492	429.106	0.215043
0.000884964	3.04698e-06	807.025	404.561	-0.576
0.0143975	6.46212e-05	794.638	286.606	-0.882304
0.000180563	6.76561e-07	171.833	233.591	-0.758453
0.000103067	3.02787e-07	756.045	67.8627	-0.987222
0.00511889	2.31295e-05	471.396	184.84	0.410419
0.00281991	1.02531e-05	834.305	970.95	-1.10101
0.00760011	5.09552e-05	108.419	879.206	0.986479
0.000162279	4.42508e-07	491.588	383.074	-1.15921
0.000368909	1.17099e-06	548.539	448.218	-0.52844
0.0235977	0.000177077	85.3824	551.395	-0.372883
0.00192698	7.25121e-06	648.604	640.245	-1.02201
0.00250074	1.45404e-05	175.274	361.08	-0.158306
0.0113141	5.13602e-05	726.875	81.1697	0.337443
0.0312376	0.00141958	53.8582	757.191	0.388092
0.00488373	1.93104e-05	899.287	438.102	-1.35341
0.000599657	2.04282e-06	595.775	201.01	-0.206386
0.0241365	0.000122449	393.29	766.332	-1.06705
0.0146459	6.41035e-05	140.733	542.114	-0.24898
0.000629074	2.00852e-06	849.519	595.835	0.835443
0.0538197	0.000303283	500.303	216.324	-1.48425
0.00350979	1.40515e-05	362.264	635.325	-0.777798
0.489728	0.00344668	75.1458	876.077	-0.467322
0.0235902	0.000162485	170.139	421.024	1.48155
0.0300119	0.000155146	291.677	406.491	0.753683
0.0137996	6.62815e-05	490.135	900.353	0.471124
1.03502e-05	2.37508e-08	611.104	71.6398	0.282281
0.0368541	0.000297312	609.811	356.427	0.0370834
1.06177	0.00755684	830.4	539.813	-1.18643
0.0269097	0.0001373	559.598	375.393	-0.898273
0.000129347	3.16682e-07	557.791	565.752	0.29581
0.000100427	2.6524e-07	595.774	566.185	0.621095
1.61493e-05	1.253e-07	179.279	438.168	1.17793
0.00474488	1.91648e-05	751.791	525.384	0.416833
3.40699e-07	1.31061e-09	285.585	223.312	-0.304053
