Omega	Omega_err	MA1	MS1	svev	alpha
0.119179	0.00395855	5140.25	868.283	965.144	0.721484
0.119022	0.00416713	14562.9	869.631	311.558	0.312912
0.025312	0.00288144	185.401	795.614	247.472	1.53394
0.120248	0.00104291	79.3677	364.578	618.434	-0.259145
0.0964698	0.000380589	73.2545	868.911	222.293	1.01022
0.119091	0.00571572	935.968	531.657	896.087	-0.193048
0.119059	0.00424359	22151.2	719.51	186.884	0.712432
0.0258096	0.003559	212.567	224.942	230.041	-1.47299
1.9359	0.115812	127.612	114.491	761.027	0.893349
0.119128	0.00400663	3593.61	617.616	384.581	1.27674
0.00824796	0.000292251	460.211	511.449	894.774	-1.14789
0.119575	0.0137019	821.414	746.277	552.575	0.00126733
0.135669	0.0300426	190.923	246.154	322.644	-1.56552
0.119119	0.00395665	5650.41	613.669	440.789	-0.661256
9.17876e-07	2.83918e-07	276.545	271.004	17.2737	-0.192738
0.11904	0.0116884	473.882	257.513	470.312	0.162513
0.120178	0.00118212	79.5792	698.051	336.755	0.13673
0.119098	0.00335873	1807.25	360.132	450.472	-0.676747
0.119125	0.00409049	12472	924.194	419.781	0.973529
0.000600725	7.70772e-05	713.435	619.028	310.977	0.689778
0.120962	0.00313534	155.995	195.323	721.52	-0.224588
0.119129	0.00395698	3133.4	710.885	718.309	0.324607
0.119015	0.00453768	67816.4	510.581	42.9331	-1.07452
23.7025	0.142531	710.907	91.2102	709.988	-0.251904
0.138497	0.00254015	426.386	421.935	963.376	-1.43083
0.119115	0.00395406	6935.63	723.504	329.809	-1.20453
0.619304	0.0110949	690.721	263.081	926.543	0.361798
0.222403	0.0471486	154.461	100.372	335.392	-0.111107
0.120712	0.000800795	78.6419	600.055	893.252	0.688674
0.120856	0.0117694	268.62	378.061	323.215	-1.55444
0.119176	0.00439688	38472	835.586	164.013	-0.548629
0.00825027	0.000333966	870.53	687.669	745.437	0.372581
0.00346249	0.000100377	158.01	943.059	663.486	0.579649
0.119183	0.00352704	2819.95	704.807	801.293	1.19266
0.0118286	0.000560616	910.931	796.573	495.304	-0.124751
0.119021	0.00397099	3823.63	786.262	924.999	1.04718
0.120569	0.000873539	78.8237	837.571	552.988	-1.24742
0.000124044	1.34288e-05	262.988	294.185	109.032	0.863088
6.80902e-05	3.11879e-06	177.974	810.75	100.995	-1.20681
0.119231	0.00240234	608.706	407.845	734.722	-1.37334
0.119044	0.00340967	2360.02	543.609	747.614	0.551605
1.03416	0.0560641	295.431	95.0129	555.661	-1.16076
0.119126	0.00355907	2895.5	514.159	591.218	-0.815755
1.14675e-06	1.38659e-07	346.917	613.587	74.5928	0.832629
0.119881	0.000809572	78.6375	928.496	868.099	0.82637
0.120794	0.000412232	76.9563	624.08	538.233	0.756736
0.119105	0.00381194	1758.22	582.074	856.88	-0.340504
0.120896	0.00744169	204.641	231.646	455.013	-1.45474
0.120939	0.00398164	535.716	290.966	712.811	-0.381101
0.767783	0.157572	196.408	140.017	509.701	-1.48817
0.119122	0.00357275	2908.67	356.274	267.372	-0.950979
0.119043	0.00296982	1474.68	797.265	962.366	1.41231
0.120759	0.00314781	213.595	275.329	712.882	-0.101165
0.120824	0.00418673	572.456	108.87	209.466	-1.4017
0.119186	0.00410546	9273.9	859.916	445.994	-0.404084
0.119031	0.0142208	224.282	158.758	408.91	0.456798
7.30873e-07	3.68451e-07	478.829	529.975	25.0709	1.1059
0.120938	0.00480751	180.175	180.462	878.441	0.648225
0.119182	0.00397007	5025.01	829.363	903.727	-0.788303
0.00068231	0.000289126	890.826	870.1	199.429	-0.151502
4.50355	0.954875	234.106	165.423	919.654	0.00833987
0.153193	0.00328402	81.303	51.7277	556.924	-1.41428
0.119181	0.00401713	7964.67	796.563	421.775	1.10039
0.11966	0.00473899	291.498	517.786	496.172	-1.55961
0.119817	0.000880499	78.991	710.51	855.725	-0.505985
0.11918	0.0051034	419611	904.016	46.231	0.585567
7.39493	0.0651445	775.543	170.686	935.532	-0.426876
0.120814	0.0023884	227.687	711.923	816.081	0.0349283
0.119194	0.00531196	879419	563.228	14.7589	-0.920784
0.00161199	9.34033e-05	559.732	660.129	257.469	-1.39054
0.120696	0.00280146	327.093	412.979	907.734	-0.081685
0.119164	0.00818494	895.664	349.827	478.083	-0.132594
0.120971	0.00277641	182.384	807.809	796.937	1.49584
0.119207	0.00272564	1207.01	588.199	662.869	1.40083
0.120866	0.00790077	434.746	163.325	310.71	0.332324
0.119047	0.00357072	2561.75	167.605	117.783	0.871513
0.318394	0.00488539	674.024	266.938	984.332	0.707186
0.119056	0.00399786	3757.83	671.112	782.7	-0.712834
0.119031	0.0039596	268.703	252.191	747.35	-0.231221
0.120967	0.00235415	505.049	662.835	884.31	-1.51894
0.119055	0.00339428	2011.68	639.66	992.653	0.392191
0.12029	0.000534549	77.5072	842.681	571.166	-0.584793
0.119972	0.000260819	57.8875	82.8829	919.717	1.52452
