Omega	mH1	mH2	mHc
0.00241176	745.974	890.303	944.876
0.000523828	857.625	875.919	937.324
6.7988e-05	485.47	622.698	667.887
0.000564095	626.23	794.5	688.489
0.000249003	286.04	501.409	438.207
0.0180673	554.112	554.122	581.973
0.00234012	590.925	870.432	878.138
0.00242905	561.909	609.658	565.119
0.000233705	861.111	959.685	975.283
0.000648941	438.411	471.822	512.693
9.63012e-06	375.239	888.03	895.075
0.000188555	220.228	359.74	380.234
0.00108889	764.11	784.243	823.028
0.0186863	895.325	895.417	921.555
7.14642e-05	446.593	527.603	547.008
8.08824e-05	495.202	645.367	628.705
0.000634648	331.594	406.309	433.645
0.0633826	440.657	442.112	445.76
0.00196204	458.775	614.882	643.849
0.00285584	761.268	877.983	949.277
0.00428527	410.954	415.404	467.11
0.000231756	414.053	631.838	676.636
0.00799806	925.411	933.341	984.959
0.000382177	238.074	329.562	387.198
0.00145244	624.977	696.568	707.765
0.000420714	669.946	753.138	732.513
0.000372918	398.786	510.738	457.614
0.00625424	682.588	706.957	694.422
0.000260839	747.834	760.8	814.823
0.000144836	534.238	773.906	802.794
0.000469102	674.679	695.022	729.291
0.000955687	540.355	601.54	629.732
0.00301694	354.609	747.546	783.658
0.000734478	723.604	910.289	873.723
0.000186019	426.866	587.065	680.739
0.00111441	551.404	558.337	616.905
0.000893235	388.003	427.213	408.134
0.000266099	572.646	843.327	845.903
0.00485044	644.502	644.504	680.748
0.00131727	602.392	606.117	659.906
0.0509308	654.592	873.211	829.099
0.00564283	417.012	425.272	472.215
0.00258092	607.118	631.929	657.378
0.000130765	633.756	875.319	845.434
7.82797e-05	434.448	997.316	995.013
0.000646987	507.534	627.815	555.058
0.000167697	639.439	694.436	709.513
0.000819957	548.889	552.788	617.668
0.000112701	656.641	920.618	944.349
7.63215e-05	183.495	592.944	600.047
0.000890111	417.898	660.156	627.821
0.000447743	430.916	571.15	497.038
0.00241505	512.981	535.28	548.915
0.0129846	567.815	679.337	738.333
0.0162529	786.893	893.238	827.117
0.000109157	523.611	754.605	691.691
0.00386848	115.925	258.631	183.587
0.00326098	573.344	573.383	653.265
0.00048052	660.829	669.699	750.3
0.0030372	661.709	718.04	763.564
0.00119382	463.318	893.845	825.028
0.000240451	792.472	914.893	949.054
0.00253062	384.68	412.97	436.523
0.000959194	306.406	405.627	351.51
0.000115176	290.161	578.937	543.044
0.000944615	425.693	471.098	441.226
