Omega	mH1
0.000305777	100
0.00242591	745.974
0.00242591	745.974
0.00242591	745.974
1.96126e-06	407.691
1.96126e-06	407.691
0.000204977	403.843
0.0112199	975.986
0.00094191	338.495
0.0063006	863.546
0.00447787	221.807
0.000198817	599.036
0.0446069	94.8119
0.0382788	751.035
1.96126e-06	407.691
0.000204977	403.843
0.0112199	975.986
0.00094191	338.495
0.0063006	863.546
0.00447787	221.807
0.000198817	599.036
0.0446069	94.8119
0.0382788	751.035
1.96126e-06	407.691
0.000204977	403.843
0.0112199	975.986
0.00094191	338.495
0.0063006	863.546
0.00447787	221.807
0.000198817	599.036
0.0446069	94.8119
0.0382788	751.035
1.96126e-06	407.691
0.000204977	403.843
0.0112199	975.986
0.00094191	338.495
0.0063006	863.546
0.00447787	221.807
0.000198817	599.036
0.0446069	94.8119
0.0382788	751.035
0.0294405	837.143
0.0162208	85.3922
0.0107631	95.0279
0.000702809	210.381
0.0124965	655.527
0.0450489	844.931
0.00111275	620.388
0.0950752	98.3452
0.000565605	565.419
0.059895	173.853
0.00755921	649.69
0.0075652	863.079
0.00142534	320.911
0.0544175	260.484
0.012171	900.29
0.0790766	319.09
0.00425421	262.639
0.0552414	752.119
0.0096217	733.363
0.00121835	987.5
0.00941864	335.916
0.000554771	648.196
0.116697	567.383
0.0369375	864.153
0.0046642	678.038
0.00523895	750.627
0.00749125	829.194
0.0322865	113.812
0.00302595	986.821
0.0107062	114.335
0.000823717	847.895
0.00182423	703.918
0.0079788	641.825
0.00030062	315.24
0.0259718	113.996
0.000185074	362.251
0.00114431	943.44
0.000109229	271.295
0.00222695	173.984
0.0143933	423.937
0.0271886	699.47
0.00618631	274.631
0.00214827	372.96
0.00941215	704.15
0.0101379	711.09
0.00424177	735.835
0.00412024	992.358
0.0053827	183.082
0.0451092	644.988
0.00142869	699.978
0.00417982	802.594
0.00271878	941.311
0.0886473	853.692
0.0426127	138.789
0.0759048	113.516
0.0560231	280.851
0.00228639	176.304
0.000248161	506.498
4.71442e-05	295.202
0.0136195	525.551
0.0586866	649.561
0.00396931	548.611
0.00563744	480.726
0.0125464	658.213
0.0131151	296.275
0.0597124	574.338
0.00789606	153.698
0.00601484	928.815
0.0396287	951.701
0.00677999	928.586
0.00265787	756.056
0.00112819	464.303
0.00540607	792.775
9.89602e-07	169.42
0.000122162	419.259
0.0596511	428.722
0.0470276	97.5165
0.0718619	157.067
0.00887419	638.947
0.00400247	736.545
0.00347611	494.377
0.00214891	779.004
0.0078629	631.554
0.05278	840.331
0.0105557	161.422
0.0448669	177.643
0.000920384	804.286
0.00978515	907.139
0.000838288	240.318
0.00108295	292.19
0.0434242	752.197
0.0132723	554.054
0.00502574	260.217
0.00909218	294.744
0.000545464	264.963
9.88674e-05	238.003
0.000748489	652.496
0.00974333	913.997
0.000258423	409.768
0.0391501	592.221
0.0398868	534.074
0.0265974	565.992
0.00191303	569.283
0.0158175	549.142
0.043759	891.899
0.000455758	330.236
0.0117522	735.794
2.55867e-06	261.89
0.0111928	151.991
0.0750024	167.17
0.00336147	443.558
0.00400722	546.745
0.00796276	606.334
0.00384444	305.054
0.046279	290.469
0.0135577	640.682
0.00960302	712.026
0.00176696	678.869
0.00563616	809.952
0.040167	311.255
0.0209943	140.226
0.00506986	206.957
0.0190539	840.074
0.029182	155.344
0.000516355	599.592
0.0157687	163.109
0.00529509	100.005
0.0121862	612.25
0.00233976	851.889
0.0224358	887.744
0.00745238	112.002
0.00735946	156.849
0.000738148	817.594
0.000640045	455.632
0.0159599	613.689
0.0127896	219.343
0.00167108	781.11
0.00122097	519.492
0.00512854	532
0.00115171	977.2
0.0995966	110.102
0.0510929	872.653
0.00897559	100.665
0.034164	270.34
0.0263994	950.4
0.00042202	481.752
0.000133066	390.151
0.0219215	186.559
5.60712e-05	379.089
0.0123626	703.39
0.00450142	159.087
0.0202991	124.333
0.00155055	159
0.00125602	348.309
0.00153911	829.191
0.110474	113.372
0.0162887	301.469
0.0103936	966.557
0.000664357	642.517
0.00911572	497.192
0.00611847	531.794
0.000623431	164.667
0.00719063	96.8987
0.00894859	695.27
0.00862976	452.511
0.0150203	939.484
0.000860836	276.914
0.00170566	179.089
0.00726839	291.94
0.00145558	810.601
0.110409	640.456
0.0121452	849.794
0.000798419	783.111
0.0239527	294.186
0.0174674	268.624
0.00288879	461.166
0.0489657	595.982
0.0100019	160.29
0.00147383	514.486
0.000829444	600.167
0.0388	510.905
0.0173186	684.04
0.00134539	533.026
0.00437053	474.213
0.00149803	830.761
0.00580084	315.751
0.0747906	118.345
0.000110028	351.494
0.00414904	469.964
0.0194628	312.924
0.000789137	657.222
0.0127489	353.355
0.00303152	135.397
4.88984e-05	509.328
0.0154776	770.665
0.00153791	686.172
0.0467554	929.098
0.00330253	825.345
0.0156194	129.189
0.0034147	206.111
0.000146831	141.022
0.0342318	566.021
0.000252977	572.414
0.00171418	756.315
0.00487661	357.629
0.0117285	607.132
0.00436758	213.837
0.0202056	109.636
0.00100342	172.103
0.00766296	130.912
0.0774952	778.948
0.0135021	732.053
0.0016586	226.802
0.0860732	571.42
0.0789806	100.043
0.0985144	601.838
0.00691537	211.586
0.00967469	742.315
0.0244413	524.191
0.00292001	855.231
0.0573346	931.538
0.00343977	186.677
0.0523077	930.435
0.00200299	965.927
0.10757	727.984
0.000397014	518.057
0.0188377	803.157
0.0356148	604.833
0.000446776	803.821
2.64144e-05	462.38
0.0280675	596.846
0.0183301	162.943
0.00227561	175.857
0.0811072	411.48
0.00141869	641.743
0.0223342	645.58
0.00135186	409.162
0.0139812	645.025
0.0196349	339.973
0.0595358	346.061
0.0763963	105.773
0.00260808	847.686
0.0332557	668.441
0.034997	267.951
0.0200303	181.548
0.0780602	501.618
0.000222677	513.315
0.00488591	464.484
0.0129319	263.881
0.0259768	809.492
0.00333314	618.964
0.000814671	422.263
0.0102681	406.691
0.0201082	923.191
0.0204645	164.162
3.13759e-05	238.913
0.00523332	574.53
0.0835706	430.199
0.0110831	912.518
0.0122361	130.557
0.00393694	573.393
0.00194751	513.293
8.87576e-05	466.599
0.00697268	874.336
0.078825	662.888
0.027184	933.577
0.0282936	615.501
0.00126099	325.873
9.74736e-05	267.179
0.00818894	97.7039
0.00115779	863.078
0.000470571	303.11
0.0821831	923.945
0.00275066	496.461
0.00831816	81.9379
0.0186404	704.023
0.00992759	108.121
0.000687357	440.057
0.00834278	912.428
0.000952006	773.528
0.00111723	479.709
1.12764e-05	294.549
0.00101118	246.658
0.0535891	963.426
0.0325778	999.796
0.0183149	669.839
0.0202526	79.8232
0.0275543	949.91
0.0151295	851.9
0.0537636	415.956
0.00270261	221.665
0.000189901	343.344
0.0114291	211.033
0.0319777	121.673
0.0380718	994.835
0.00714442	229.494
0.0050092	156.469
0.0528748	776.869
0.000304814	278.074
0.0271724	732.896
0.0221913	142.329
1.26003e-05	397.83
7.8497e-05	245.133
0.080863	912.411
0.00946717	269.219
0.0102142	649.791
0.00116313	313.652
0.000915605	650.94
0.00140644	572.648
0.00718047	122.875
0.0427315	194.813
0.01467	946.588
0.041906	420.531
6.61289e-05	424.608
0.00035399	271.448
0.00559022	420.758
0.000158855	428.321
0.00116859	647.556
0.00620716	253.471
0.00322432	144.359
0.00297677	948.038
0.0106074	314.992
0.000292838	216.484
0.0530323	105.74
0.000180345	405.405
0.00803379	763.164
0.000633239	573.86
0.000627577	175.815
0.000733729	818.275
0.0350332	901.901
0.0395948	968.883
0.00672752	168.48
0.0237973	833.405
0.00501549	238.131
0.00134567	606.818
0.000523999	724.884
8.84711e-05	560.773
0.000646017	741.664
0.00559175	599.17
0.000291468	598.927
0.0142974	694.672
0.0198301	113.173
0.0815858	964.919
0.00210349	777.847
0.00483231	290.286
0.00351389	506.846
0.000176954	426.493
0.00314945	297.818
0.0145118	563.894
0.0107563	767.132
0.00226735	438.725
0.00895894	886.738
8.75666e-05	329.971
0.00572091	781.45
7.90587e-06	412.44
0.00109385	862.363
0.00281347	828.453
0.00393169	801.071
0.00110954	933.716
0.00046995	580.036
0.00123569	682.506
0.00483855	207.457
0.0107941	174.759
0.119278	866.556
0.000319224	288.712
0.00108485	601.789
0.0760416	871.076
0.00338083	253.024
0.00103401	542.823
0.0669957	511.882
0.0743821	569.265
0.00135483	748.636
0.000803614	566.689
0.0309847	206.054
0.00237474	421.085
0.0722373	245.603
0.0762377	361.009
0.0635284	563.409
0.0927091	452.905
0.00108412	334.896
0.00319993	358.713
0.0234227	786.151
0.0103307	175.683
2.98351e-06	462.903
0.00484719	892.798
3.08413e-05	445.025
0.0179615	998.303
0.0365852	220.632
0.00493109	722.425
0.0148005	80.0248
0.0170381	393.916
0.0777002	335.562
0.0759416	153.505
0.0952603	131.704
0.00153149	762.988
0.036955	78.0431
0.045484	157.67
0.0243895	133.153
0.00193551	683.629
0.0042672	650.607
0.00287368	568.371
0.0146161	322.595
0.00595602	578.079
0.0100631	81.3759
0.00251272	419.484
0.0373632	748.926
0.0421096	462.799
0.000443933	357.326
0.0725283	591.037
0.000349829	688.57
0.000434141	176.062
0.00354834	629.076
0.047828	433.156
0.0287971	195.138
0.0116034	689.25
0.000854089	814.405
0.000571132	308.302
0.0014403	523.28
0.0135539	735.986
0.0594143	551.355
0.0069582	961.689
0.0656482	565.971
0.0139102	684.53
0.0419363	701.299
0.0104109	778.558
0.00277956	586.845
9.99654e-05	606.344
0.000331323	632.379
0.0779446	112.976
0.00449287	382.71
0.0109464	234.878
0.000523301	265.168
3.9633e-05	376.062
0.0132328	401.264
0.0303286	741.637
0.00347666	619.454
0.00254378	272.05
7.61544e-07	191.517
0.0167686	300.932
0.0165476	145.84
0.00812058	84.3687
0.00249984	694.857
0.000147267	393.191
0.00162125	759.533
0.000146795	463.1
0.0168492	217.179
0.0537081	404.887
0.0295914	819.317
0.0384615	365.436
0.00134212	223.558
0.00479204	334.352
0.00337809	666.755
0.018292	849.023
0.0329599	430.694
0.00518122	791.237
