Omega	Omega_uncer	mH1	mH2	mHc
0.00243391	0.000304898	745.974	890.303	944.876
0.000526963	0.000175215	857.625	875.919	937.324
6.8551e-05	1.01956e-05	485.47	622.698	667.887
0.000568649	0.000117055	626.23	794.5	688.489
0.000251166	1.60054e-05	286.04	501.409	438.207
0.0182439	0.00153448	554.112	554.122	581.973
0.00236145	0.000174858	590.925	870.432	878.138
0.00244728	0.000214921	561.909	609.658	565.119
0.000235571	7.48583e-05	861.111	959.685	975.283
0.000654019	9.96918e-05	438.411	471.822	512.693
9.70455e-06	1.3679e-05	375.239	888.03	895.075
0.000190207	1.48295e-05	220.228	359.74	380.234
0.00109525	0.000311798	764.11	784.243	823.028
0.0188509	0.00133019	895.325	895.417	921.555
7.20487e-05	2.44248e-05	446.593	527.603	547.008
8.15511e-05	1.22934e-05	495.202	645.367	628.705
0.000640222	7.11485e-05	331.594	406.309	433.645
0.0639307	0.0356899	440.657	442.112	445.76
0.00197995	0.000276364	458.775	614.882	643.849
0.00288221	0.000397091	761.268	877.983	949.277
0.00431757	0.000243152	410.954	415.404	467.11
0.000233729	2.07249e-05	414.053	631.838	676.636
0.00808072	0.000457088	925.411	933.341	984.959
0.000385536	3.31513e-05	238.074	329.562	387.198
0.00146455	0.000275216	624.977	696.568	707.765
0.000423949	9.50366e-05	669.946	753.138	732.513
0.000376074	2.66871e-05	398.786	510.738	457.614
0.00629526	0.00074095	682.588	706.957	694.422
0.000262559	7.90474e-05	747.834	760.8	814.823
0.000146065	2.4292e-05	534.238	773.906	802.794
0.000471811	0.000142961	674.679	695.022	729.291
0.000963797	0.000140253	540.355	601.54	629.732
0.00304463	0.000117613	354.609	747.546	783.658
0.000740992	0.000115149	723.604	910.289	873.723
0.000187603	2.44354e-05	426.866	587.065	680.739
0.00112224	0.000156357	551.404	558.337	616.905
0.000898694	0.00015512	388.003	427.213	408.134
0.000268391	4.24544e-05	572.646	843.327	845.903
0.00488436	0.000484699	644.502	644.504	680.748
0.00132511	0.000235163	602.392	606.117	659.906
0.0514375	0.00214974	654.592	873.211	829.099
0.00568369	0.000413159	417.012	425.272	472.215
0.00259698	0.000376337	607.118	631.929	657.378
0.00013187	2.96753e-05	633.756	875.319	845.434
7.89327e-05	1.0663e-05	434.448	997.316	995.013
0.000652035	0.000106426	507.534	627.815	555.058
0.000168927	4.47965e-05	639.439	694.436	709.513
0.000825911	0.000127156	548.889	552.788	617.668
0.000113649	3.18299e-05	656.641	920.618	944.349
7.69599e-05	3.70211e-05	183.495	592.944	600.047
0.00089806	7.64424e-05	417.898	660.156	627.821
0.000451572	4.76519e-05	430.916	571.15	497.038
0.00242856	0.00035136	512.981	535.28	548.915
0.0131072	0.000600509	567.815	679.337	738.333
0.0165244	0.000297916	786.893	893.238	827.117
0.00011007	2.60102e-05	523.611	754.605	691.691
0.0039065	0.000149391	115.925	258.631	183.587
