Omega	mmH3
3.8998e-05	415.444
3.41007e-07	139.519
5.46975e-05	406.014
0.000137604	244.866
4.15481e-07	159.587
8.24617e-06	197.985
7.2991e-05	539.922
5.76768e-05	486.531
2.55886e-05	788.882
4.73478e-05	566.413
1.81538e-05	645.078
2.19578e-05	867.699
1.13154e-05	939.049
2.51382e-05	606.469
3.17632e-05	690.248
5.12744e-05	517.192
3.3159e-05	476.594
2.76035e-05	585.415
1.60392e-05	737.484
0.000240579	246.962
0.000473769	121.156
1.68154e-05	628.068
5.71716e-05	349.251
5.20301e-05	370.469
3.3556e-05	659.618
1.9548e-05	842.571
5.97359e-06	194.554
2.54881e-05	530.859
2.64526e-05	538.717
3.98417e-05	411.312
2.1167e-05	743.996
0.000127576	193.098
6.18339e-07	155.442
3.99574e-05	391.662
8.29512e-05	275.158
2.56371e-05	493.523
5.6276e-05	317.68
0.000100167	332.417
9.31846e-05	258.332
0.000154725	193.729
2.55944e-05	769.462
6.26638e-05	397.295
5.82889e-05	353.447
1.39638e-05	893.763
2.81243e-05	509.797
6.53837e-06	79.2167
0.00458643	112.737
0.000163643	164.03
3.96683e-05	464.477
3.42989e-05	506.687
1.15622e-05	124.913
0.000155718	261.955
1.87019e-05	939.219
2.67203e-05	635.688
2.79273e-05	738.984
0.00205782	121.228
3.30479e-05	447.451
1.93185e-05	824.086
1.99973e-05	724.586
1.52733e-05	765.181
8.72961e-06	207.565
0.000905831	117.841
1.1488e-05	867.079
1.43346e-05	914.028
2.69299e-05	899.677
3.90764e-05	351.448
5.73177e-05	418.509
9.44561e-05	242.109
0.000215133	238.131
1.58969e-05	765.167
2.6622e-05	859.381
1.24804e-05	917.648
0.000112194	274.286
2.24731e-05	638.317
3.6627e-05	675.923
6.99414e-05	428.307
9.80562e-05	359.079
3.75914e-05	463.955
4.05115e-05	737.219
6.45819e-05	235.873
8.57919e-05	310.206
5.98742e-05	493.853
5.63182e-05	464.676
6.22764e-05	517.862
4.18062e-05	345.444
9.47071e-05	294.45
8.26697e-05	245.44
8.68924e-05	286.827
3.12556e-05	224.061
0.00048437	97.2273
2.10697e-05	773.488
4.60236e-05	494.311
4.49296e-05	732.614
0.000168796	387.194
7.13032e-07	137.092
5.38179e-05	352.533
0.000104422	317.278
3.49044e-05	447.852
0.0002704	91.7155
2.21582e-05	620.301
9.40394e-05	298.626
2.1961e-06	200.769
1.64815e-05	799.251
3.25392e-05	456.364
3.45244e-05	495.037
8.96644e-05	403.167
3.51748e-05	452.181
3.3638e-05	561.5
4.02059e-05	492.625
3.65404e-06	200.625
2.00235e-05	827.662
0.003439	118.769
4.92497e-05	344.191
3.73839e-05	541.005
7.51724e-05	551.197
0.000457691	103.651
3.04837e-05	532.935
2.88091e-05	492.535
4.45449e-05	487.496
1.40398e-05	845.388
4.53501e-05	775.855
7.407e-05	366.877
0.00071969	117.724
2.43951e-05	631.735
2.72721e-05	546.458
2.52173e-05	202.564
0.000649494	75.9261
5.30585e-05	311.538
7.60265e-05	279.931
3.37246e-05	729.716
0.00114249	89.6683
2.64587e-05	784.481
2.81338e-05	469.226
1.68314e-05	883.808
2.23825e-05	735.696
5.67409e-05	378.379
6.84717e-05	165.461
2.3305e-05	608.988
0.000969818	143.226
1.60395e-05	719.764
4.63967e-05	393.035
6.05281e-05	318.839
2.86351e-05	721.593
2.00558e-06	192.157
0.000100191	328.307
2.09729e-05	745.271
5.17499e-06	164.396
1.13929e-05	195.745
2.53535e-05	860.659
1.11914e-05	125.675
0.000203994	173.775
1.73376e-05	717.574
1.7154e-05	805.761
1.29068e-05	233.986
0.00410692	69.6381
0.000110953	280.303
7.36495e-05	288.268
2.16778e-05	751.303
0.000119206	408.532
3.4446e-06	198.523
4.36469e-05	555.569
6.22919e-05	326.292
1.74339e-05	215.861
6.89411e-05	223.674
0.000135884	183.197
7.96248e-05	339.283
1.77837e-05	900.78
6.7429e-05	548.858
1.80127e-05	606.083
2.46486e-05	663.49
0.000275141	119.121
4.95217e-05	412.56
0.000176236	158.44
2.39787e-05	606.029
5.95573e-05	497.42
7.5435e-05	404.525
5.66159e-05	512.392
0.000105772	254.352
4.75266e-06	211.632
3.578e-05	384.742
1.13859e-05	829.195
1.30838e-05	893.692
2.08e-05	734.285
2.06595e-05	639.424
4.37432e-05	501.417
2.34245e-05	629.651
1.55768e-05	887.771
0.00269892	102.889
2.36162e-05	867.625
1.6434e-05	666.113
9.9062e-05	237.943
3.40381e-05	414.305
3.04426e-05	510.693
2.21857e-05	790.272
3.83537e-05	613.764
1.17162e-06	160.937
0.00111786	102.475
4.78736e-05	567.11
1.46117e-05	822.118
3.17812e-06	157.682
5.66632e-05	542.444
5.96474e-05	460.061
1.93938e-05	674.549
1.04153e-05	946.965
6.15744e-05	446.238
2.66329e-05	178.208
1.92131e-05	916.528
1.47345e-05	794.978
7.19803e-05	256.442
1.7336e-05	904.251
2.1319e-05	883.578
8.74812e-05	426.15
0.00013224	544.153
4.32683e-05	352.15
4.28481e-05	660.326
7.61885e-05	477.144
2.54953e-05	629.661
2.2282e-05	709.51
2.36885e-05	667.831
8.44433e-05	562.752
3.82901e-05	631.993
3.91178e-05	632.427
0.000112645	246.89
4.18758e-05	649.212
2.5302e-05	641.923
0.000352377	97.483
5.13449e-05	410.576
3.79732e-05	417.286
1.74582e-05	738.85
3.09027e-05	442.567
3.29826e-05	678.664
2.29804e-05	544.537
0.000104361	374.968
0.000220084	287.094
0.000139583	327.683
6.36909e-05	440.364
1.93017e-05	699.601
4.92031e-05	411.646
7.79728e-05	84.2728
5.33378e-05	566.506
0.000126217	186.313
6.78813e-05	418.809
2.25355e-05	770.833
2.21386e-05	714.611
1.51769e-05	897.269
3.08376e-05	807.464
8.25891e-05	498.175
0.00014479	610.877
2.50361e-05	677.152
0.0014863	111.969
0.0182751	85.2025
6.58204e-05	314.98
0.000229491	175.447
2.06388e-05	688.464
6.0223e-07	158.505
1.91201e-05	647.761
1.42621e-05	917.961
4.58405e-05	402.026
2.09229e-05	726.01
3.52418e-05	781.252
3.95086e-05	478.238
3.34799e-05	439.008
0.00034655	124.676
0.00207403	112.499
6.60044e-05	335.313
2.44329e-05	484.571
2.54451e-05	587.026
3.50319e-05	260.714
3.74177e-05	374.701
5.52144e-06	183.781
1.46972e-05	828.516
1.94344e-05	663.861
1.89527e-05	665.444
1.41249e-05	842.775
4.6237e-07	134.355
1.78932e-05	894.931
0.000123953	175.412
5.4697e-05	353.96
3.13512e-05	507.693
0.000201225	232.83
8.93462e-05	300.123
6.79061e-05	324.5
1.90655e-05	714.213
9.41218e-05	265.455
2.99695e-05	819.764
3.23838e-05	864.716
7.02062e-05	322.383
2.44523e-05	737.372
3.42244e-05	688.698
5.45412e-05	449.095
1.24113e-05	846.777
5.21344e-05	326.914
2.90655e-05	826.499
4.20687e-05	413.399
2.16252e-05	818.854
1.63568e-05	869.366
2.74306e-05	636.334
7.07515e-05	640.955
2.0488e-05	701.807
1.45369e-05	717.416
4.62037e-05	503.4
9.38949e-05	258.781
3.11804e-05	422.947
3.3393e-05	707.398
3.38726e-05	758.469
2.77048e-06	206.553
0.000211926	315.707
0.000105743	199.562
4.8518e-05	660.426
0.000287551	298.124
4.05758e-05	461.04
1.60969e-05	831.365
4.30709e-05	382.49
0.000115589	117.738
5.13627e-05	491.085
2.79373e-05	757.761
1.34739e-05	917.834
4.78218e-05	456.044
8.19941e-05	253.09
8.71034e-05	279.1
1.12968e-05	924.516
0.000514889	189.459
0.000109624	102.177
2.68689e-05	775.831
4.54663e-05	399.567
8.50111e-05	659.27
3.59191e-05	433.019
8.08004e-05	279.063
1.00774e-05	918.358
1.38124e-05	760.995
1.21878e-05	904.489
0.000161035	291.514
2.34337e-05	616.839
0.000193427	107.154
0.00011083	336.362
5.05299e-05	412.822
1.23929e-05	845.232
1.38366e-05	791.174
3.62593e-05	396.839
4.28649e-05	481.883
7.42098e-05	491.383
6.85292e-05	271.294
2.09806e-05	608.167
1.99276e-05	577.471
2.80639e-05	768.625
3.3436e-05	433.388
1.90898e-05	750.741
4.38725e-05	386.954
5.38935e-05	510.548
2.9544e-05	895.447
2.89687e-06	202.034
9.22093e-05	422.236
2.26434e-05	659.783
2.43845e-05	929.152
2.50049e-05	231.281
9.21824e-05	442.419
4.64316e-05	386.863
1.13609e-05	896.742
8.17522e-05	535.218
4.16434e-05	471.953
7.60779e-05	284.204
1.93821e-05	917.7
1.32534e-05	916.453
2.52646e-05	850.594
4.38487e-05	751.488
4.91403e-05	243.143
5.68794e-05	603.751
1.68729e-05	858.47
6.6404e-05	155.058
1.18679e-05	915.643
1.97677e-05	682.441
2.59474e-05	243.625
1.40575e-05	736.403
1.62313e-05	856.532
1.17654e-05	910.935
0.000278119	163.063
0.000132221	116.458
2.70958e-05	787.499
1.85693e-05	655.457
2.41304e-05	554.668
7.93126e-05	447.101
2.9353e-05	888.909
4.72007e-05	576.071
6.40815e-05	211.558
0.000737431	190.815
0.000170226	115.786
3.66967e-05	500.13
2.85257e-05	617.286
2.2753e-05	527.877
2.29817e-05	653.742
2.23955e-05	735.479
2.29677e-05	567.974
3.13461e-05	654.149
4.08097e-05	714.336
5.81178e-05	325.359
3.48248e-05	493.076
7.31223e-06	157.215
0.000394146	94.8409
2.05145e-05	646.054
1.63385e-05	798.008
2.67156e-05	527.535
0.000881421	73.1352
4.53999e-05	125.664
6.27015e-05	550.251
0.00587169	95.8709
2.26224e-05	942.199
1.48344e-05	827.403
0.000262442	285.893
2.23904e-05	837.533
5.49862e-05	329.225
9.97834e-05	240.324
0.000115152	219.465
9.7098e-06	155.059
2.29135e-05	685.087
1.57849e-05	926.862
1.7274e-05	738.342
8.59834e-05	360.555
4.28533e-05	600.467
1.48364e-05	849.747
3.20507e-05	525.228
1.46411e-05	891.76
9.57482e-05	465.374
0.000195118	300.631
0.000103857	265.248
2.32586e-05	736.023
1.47353e-05	936.112
4.13427e-05	429.548
1.99871e-05	678.7
7.21328e-05	382.64
0.000320943	144.603
1.94642e-05	791.799
3.5565e-05	557.651
3.4458e-05	464.78
3.06178e-05	675.601
1.84981e-05	847.146
0.00029919	145.327
1.56105e-05	185.857
4.21825e-05	457.636
1.80745e-05	859.463
5.56538e-05	541.682
1.76706e-05	819.035
7.38661e-05	407.113
4.07855e-05	393.316
6.03503e-05	332.034
2.33746e-05	565.566
1.67471e-05	841.152
0.000102534	329.061
0.000101465	250.816
1.90142e-05	794.296
0.000215465	206.872
3.08038e-05	758.547
3.4342e-05	485.297
3.91518e-05	551.923
6.18644e-05	501.268
7.33882e-07	172.496
7.59343e-05	302.258
2.80542e-05	452.314
0.000886611	102.695
5.91035e-05	360.946
5.80886e-06	170.841
3.84121e-05	464.558
6.40064e-05	359.342
9.86432e-05	228.422
5.43202e-05	313.51
4.21534e-07	147.973
2.0123e-05	592.63
7.01477e-05	528.188
1.50186e-05	846.99
5.73481e-05	662.5
1.77436e-05	802.763
1.03765e-05	905.668
3.64927e-05	570.459
2.33388e-05	224.384
2.05902e-05	541.7
0.000168991	297.069
0.000108737	249.212
8.99418e-05	357.123
2.27084e-05	685.682
2.89269e-05	534.89
3.54052e-05	653.294
7.79298e-05	527.846
0.000110375	100.653
8.09735e-06	198.647
9.82395e-05	282.949
2.42357e-05	612.52
5.49048e-05	512.099
1.71359e-05	823.74
9.65694e-05	267.575
1.20877e-05	782.875
5.58868e-05	348.41
1.90931e-05	683.603
0.000108089	227.13
4.36473e-05	470.169
9.49262e-05	285.048
0.00019974	440.682
0.000110687	270.288
6.18696e-05	297.937
