sqrts	xsec	
325	0	
325.097	0	
325.193	0	
325.29	0	
325.387	0	
325.484	0	
325.58	0	
325.677	0	
325.774	0	
325.871	4.26634e-05	
325.967	2.11008e-05	
326.064	1.59339e-05	
326.161	1.33302e-05	
326.258	1.16939e-05	
326.354	1.05444e-05	
326.451	9.68019e-06	
326.548	9.00008e-06	
326.645	8.44687e-06	
326.741	7.98551e-06	
326.838	7.59314e-06	
326.935	7.25417e-06	
327.032	6.95751e-06	
327.128	6.69505e-06	
327.225	6.46072e-06	
327.322	6.24984e-06	
327.419	6.05876e-06	
327.515	5.88456e-06	
327.612	5.72492e-06	
327.709	5.57792e-06	
327.806	5.44199e-06	
327.902	5.31581e-06	
327.999	5.19826e-06	
328.096	5.08843e-06	
328.193	4.9855e-06	
328.289	4.88878e-06	
328.386	4.79767e-06	
328.483	4.71167e-06	
328.58	4.63031e-06	
328.676	4.55318e-06	
328.773	4.47995e-06	
328.87	4.41029e-06	
328.967	4.34393e-06	
329.063	4.28062e-06	
329.16	4.22012e-06	
329.257	4.16225e-06	
329.354	4.10681e-06	
329.45	4.05365e-06	
329.547	4.00261e-06	
329.644	3.95356e-06	
329.741	3.90638e-06	
329.837	3.86094e-06	
329.934	3.81714e-06	
330.031	3.7749e-06	
330.128	3.73411e-06	
330.224	3.69471e-06	
330.321	3.65661e-06	
330.418	3.61975e-06	
330.515	3.58406e-06	
330.611	3.54947e-06	
330.708	3.51595e-06	
330.805	3.48342e-06	
330.902	3.45185e-06	
330.998	3.42119e-06	
331.095	3.3914e-06	
331.192	3.36244e-06	
331.289	3.33427e-06	
331.385	3.30685e-06	
331.482	3.28016e-06	
331.579	3.25416e-06	
331.676	3.22882e-06	
331.772	3.20412e-06	
331.869	3.18003e-06	
331.966	3.15653e-06	
332.063	3.13359e-06	
332.159	3.1112e-06	
332.256	3.08932e-06	
332.353	3.06794e-06	
332.45	3.04705e-06	
332.546	3.02663e-06	
332.643	3.00665e-06	
332.74	2.98711e-06	
332.837	2.96798e-06	
332.933	2.94926e-06	
333.03	2.93092e-06	
333.127	2.91297e-06	
333.224	2.89538e-06	
333.32	2.87814e-06	
333.417	2.86124e-06	
333.514	2.84467e-06	
333.611	2.82842e-06	
333.707	2.81248e-06	
333.804	2.79684e-06	
333.901	2.7815e-06	
333.998	2.76643e-06	
334.094	2.75164e-06	
334.191	2.73712e-06	
334.288	2.72286e-06	
334.385	2.70884e-06	
334.481	2.69507e-06	
334.578	2.68154e-06	
334.675	2.66824e-06	
334.772	2.65516e-06	
334.868	2.6423e-06	
334.965	2.62966e-06	
335.062	2.61722e-06	
335.159	2.60498e-06	
335.255	2.59294e-06	
335.352	2.58109e-06	
335.449	2.56942e-06	
335.546	2.55794e-06	
335.642	2.54663e-06	
335.739	2.5355e-06	
335.836	2.52454e-06	
335.933	2.51374e-06	
336.029	2.5031e-06	
336.126	2.49262e-06	
336.223	2.48229e-06	
336.32	2.47211e-06	
336.416	2.46207e-06	
336.513	2.45218e-06	
336.61	2.44243e-06	
336.707	2.43282e-06	
336.803	2.42334e-06	
336.9	2.41398e-06	
336.997	2.40476e-06	
337.094	2.39566e-06	
337.19	2.38668e-06	
337.287	2.37782e-06	
337.384	2.36908e-06	
337.481	2.36046e-06	
337.577	2.35194e-06	
337.674	2.34354e-06	
337.771	2.33524e-06	
337.868	2.32705e-06	
337.964	2.31896e-06	
338.061	2.31097e-06	
338.158	2.30308e-06	
338.255	2.29529e-06	
338.351	2.2876e-06	
338.448	2.27999e-06	
338.545	2.27248e-06	
338.642	2.26506e-06	
338.738	2.25773e-06	
338.835	2.25048e-06	
338.932	2.24332e-06	
339.029	2.23624e-06	
339.125	2.22925e-06	
339.222	2.22233e-06	
339.319	2.21549e-06	
339.416	2.20873e-06	
339.512	2.20205e-06	
339.609	2.19544e-06	
339.706	2.18891e-06	
339.803	2.18244e-06	
339.899	2.17605e-06	
339.996	2.16973e-06	
340.093	2.16347e-06	
340.19	2.15729e-06	
340.286	2.15116e-06	
340.383	2.14511e-06	
340.48	2.13912e-06	
340.577	2.13319e-06	
340.673	2.12732e-06	
340.77	2.12151e-06	
340.867	2.11577e-06	
340.964	2.11008e-06	
341.06	2.10445e-06	
341.157	2.09888e-06	
341.254	2.09336e-06	
341.351	2.0879e-06	
341.447	2.08249e-06	
341.544	2.07714e-06	
341.641	2.07184e-06	
341.738	2.06659e-06	
341.834	2.06139e-06	
341.931	2.05624e-06	
342.028	2.05114e-06	
342.125	2.04609e-06	
342.221	2.04109e-06	
342.318	2.03614e-06	
342.415	2.03123e-06	
342.512	2.02637e-06	
342.608	2.02155e-06	
342.705	2.01678e-06	
342.802	2.01205e-06	
342.899	2.00737e-06	
342.995	2.00273e-06	
343.092	1.99813e-06	
343.189	1.99357e-06	
343.286	1.98905e-06	
343.382	1.98458e-06	
343.479	1.98014e-06	
343.576	1.97574e-06	
343.673	1.97138e-06	
343.769	1.96706e-06	
343.866	1.96278e-06	
343.963	1.95854e-06	
344.06	1.95433e-06	
344.156	1.95016e-06	
344.253	1.94602e-06	
344.35	1.94192e-06	
344.447	1.93785e-06	
344.543	1.93382e-06	
344.64	1.92982e-06	
344.737	1.92585e-06	
344.834	1.92192e-06	
344.93	1.91802e-06	
345.027	1.91416e-06	
345.124	1.91032e-06	
345.221	1.90652e-06	
345.317	1.90274e-06	
345.414	1.899e-06	
345.511	1.89529e-06	
345.608	1.89161e-06	
345.704	1.88795e-06	
345.801	1.88433e-06	
345.898	1.88073e-06	
345.995	1.87717e-06	
346.091	1.87363e-06	
346.188	1.87012e-06	
346.285	1.86664e-06	
346.382	1.86318e-06	
346.478	1.85975e-06	
346.575	1.85635e-06	
346.672	1.85297e-06	
346.769	1.84962e-06	
346.865	1.84629e-06	
346.962	1.84299e-06	
347.059	1.83972e-06	
347.156	1.83646e-06	
347.252	1.83324e-06	
347.349	1.83004e-06	
347.446	1.82686e-06	
347.543	1.8237e-06	
347.639	1.82057e-06	
347.736	1.81746e-06	
347.833	1.81438e-06	
347.93	1.81131e-06	
348.026	1.80827e-06	
348.123	1.80525e-06	
