Omega	MA1	MH	MS1	alpha	svev	WH	WS1
0.00510213	951.097	125.09	801.341	-0.146833	391.488	0.00592442	7.97538
0.059641	710.916	125.09	587.656	-0.161662	887.891	0.00589716	3.72736
0.0052955	201.558	125.09	830.601	0.128734	378.471	0.00595423	40.5048
0.0279834	667.022	125.09	226.552	-0.0611533	236.195	0.00603139	0.00982168
0.00279667	229.897	125.09	814.065	0.286558	739.156	0.00557034	35.2734
0.000412008	264.567	125.09	632.275	0.238453	640.957	0.00571625	12.4377
0.0328983	598.019	125.09	239.427	0.220788	278.063	0.00576365	0.160881
0.0276717	105.71	125.09	770.588	-0.149668	364.441	0.0059194	39.6343
0.0709726	572.97	125.09	459.337	-0.0807578	546.862	0.00601461	0.426675
0.000459092	283.324	125.09	881.997	-0.180985	289.862	0.00585786	76.6291
0.0100554	912.786	125.09	453.884	0.137975	305.494	0.00593948	1.09361
7.49483e-05	289.466	125.09	678.142	-0.299684	414.295	0.00552638	28.5277
0.00145397	259.249	125.09	684.587	0.149396	535.233	0.00591989	11.9065
0.000265351	350.365	125.09	956.567	-0.18938	352.948	0.00583946	68.3608
0.0104439	801.253	125.09	886.179	-0.11165	597.841	0.00597885	6.10238
0.000793484	379.183	125.09	566.104	0.2	388.054	0.00581506	4.63429
0.0110606	235.799	125.09	768.197	0.130159	831.555	0.00595202	10.2743
0.00315544	845.871	125.09	951.379	-0.290186	854.031	0.00555836	48.6845
0.0144838	596.171	125.09	530.694	0.179154	500.087	0.00586176	3.10628
0.0508538	950.809	125.09	944.889	0.0678716	743.854	0.00602616	2.64944
0.00400164	276.188	125.09	460.389	0.17361	913.609	0.00587336	1.86299
0.0157499	156.174	125.09	464.026	-0.121399	662.12	0.00596522	2.64758
0.0596123	187.157	125.09	774.053	-0.0881881	867.404	0.00600704	7.86765
0.000658685	624.905	125.09	168.575	-0.072621	69.3194	0.00602213	0.00192031
1.14928e-05	408.695	125.09	864.76	0.124058	247.727	0.00596131	40.1519
0.0276122	425.067	125.09	534.2	0.115518	795.673	0.00597358	1.37311
1.21206e-05	459.269	125.09	952.201	0.116911	647.122	0.00597163	13.2307
0.00018316	303.124	125.09	750.229	-0.290471	508.295	0.00555741	33.7248
0.0197658	584.716	125.09	589.04	0.15158	638.624	0.00591597	3.14712
0.00666994	117.464	125.09	929.935	0.271306	330.229	0.00561921	101.383
0.00393604	742.194	125.09	806.087	0.147874	444.961	0.00592259	7.57048
9.52832e-06	324.427	125.09	647.911	0.0541611	810.062	0.00603626	0.556301
0.0238363	844.83	125.09	624.732	-0.1789	616.044	0.0058623	5.5438
0.00487489	802.528	125.09	740.534	0.264614	585.694	0.0056399	17.9813
0.00873622	251.812	125.09	844.359	0.152112	883.851	0.005915	15.3506
0.000701559	419.715	125.09	672.212	-0.228138	603.746	0.00574434	11.1585
0.0178082	589.073	125.09	228.781	-0.1374	223.802	0.00594043	0.0515422
0.00339189	746.432	125.09	894.771	-0.266356	877.705	0.00563456	34.4986
0.0288131	115.702	125.09	747.573	0.16008	439.628	0.00590019	26.9866
0.00529421	214.594	125.09	804.919	0.260563	840.274	0.0056522	28.4654
0.0127443	511.825	125.09	834.741	0.0599866	988.098	0.00603225	1.44521
0.00906894	634.429	125.09	802.046	-0.0772959	472.455	0.00601791	2.18806
0.0187414	105.433	125.09	946.906	0.261929	492.928	0.00564807	67.6438
0.00342948	871.248	125.09	952.643	0.295769	898.508	0.00553967	47.0955
0.000106793	433.254	125.09	773.142	0.15331	326.898	0.00591282	7.0797
0.00111389	482.013	125.09	807.3	0.144037	737.579	0.00592927	7.3339
0.00117342	622.719	125.09	863.792	-0.0806472	261.21	0.00601472	3.01354
0.0155671	220.002	125.09	180.44	0.297492	230.029	0.00553384	0.0529972
0.00715346	180.337	125.09	762.943	-0.115712	358.106	0.00597331	34.2396
0.0198097	175.747	125.09	942.374	-0.205549	918.548	0.0058018	33.0395
0.0302284	581.02	125.09	649.497	-0.0692886	492.209	0.00602499	0.939252
0.0211328	969.009	125.09	160.779	0.155459	132.157	0.00590887	0.0030638
0.0283821	974.331	125.09	671.944	-0.122005	575.375	0.00596434	3.22441
0.000247873	476.764	125.09	799.692	-0.183537	436.725	0.00585235	12.3247
0.000283278	372.611	125.09	667.095	-0.212571	680.97	0.00578454	9.44985
0.0135349	969.024	125.09	754.546	-0.162365	558.302	0.0058958	8.05177
0.000788177	167.747	125.09	449.657	0.209746	290.121	0.00579155	9.16524
0.00211395	303.403	125.09	806.786	-0.147692	758.839	0.00592291	13.8994
0.000134825	469.374	125.09	842.871	-0.216748	610.311	0.00577402	19.6782
0.0524873	392.249	125.09	295.443	0.06402	383.908	0.00602923	0.0479788
0.00300924	238.897	125.09	811.815	0.153432	472.569	0.0059126	27.1346
0.114075	145.68	125.09	177.608	0.160422	347.623	0.00589954	0.0142318
5.80071e-06	433.201	125.09	860.523	-0.305775	704.146	0.00550539	40.3967
0.0100709	721.532	125.09	753.807	-0.113499	466.708	0.00597635	3.9454
0.00312988	169.831	125.09	374.329	0.0254335	305.768	0.00605009	2.36314
0.0843627	485.947	125.09	499.336	0.107146	822.993	0.00598477	0.953714
0.00131553	66.8845	125.09	139.246	-0.118647	180.199	0.00596918	0.22656
0.0641075	650.94	125.09	546.173	-0.147002	808.339	0.00592412	2.466
0.00806031	583.495	125.09	613.96	-0.157024	464.323	0.00590596	4.10178
2.48949e-05	453.619	125.09	995.887	0.154208	296.777	0.00591118	59.8966
0.0864714	921.259	125.09	523.42	-0.157374	708.935	0.0059053	2.47632
0.0796777	492.274	125.09	624.6	0.0569458	819.432	0.00603439	0.550379
0.0165299	579.858	125.09	798.104	0.0908732	903.686	0.00600415	2.88217
0.0151539	771.814	125.09	821.327	-0.139512	764.845	0.00593694	7.57447
0.0172931	886.592	125.09	853.052	-0.191308	965.25	0.00583513	15.7229
0.00257751	735.971	125.09	955.663	-0.120878	482.345	0.00596598	8.97819
0.000712765	771.702	125.09	872.141	0.302085	425.462	0.00551815	36.4243
0.000416386	636.497	125.09	909.446	0.125374	274.925	0.00595934	7.68401
0.0185388	715.511	125.09	751.368	-0.155022	834.97	0.00590968	7.17168
0.025972	541.095	125.09	621.204	-0.154351	959.181	0.00591091	4.02092
1.53634e-06	448.465	125.09	897.443	-0.292675	376.2	0.00555007	45.4404
0.00319047	989.648	125.09	849.639	0.0196405	267.066	0.00605167	0.163361
0.00875731	877.481	125.09	625.621	-0.106491	372.164	0.00598561	2.00709
0.0140521	203.748	125.09	483.991	0.045355	672.696	0.00604156	1.49853
0.00566888	164.143	125.09	494.328	-0.137228	456.693	0.00594071	5.81624
0.0080575	166.073	125.09	848.973	0.304675	735.917	0.0055092	44.6165
0.0582554	185.456	125.09	652.894	-0.0915344	989.339	0.00600342	3.95839
0.00174363	799.23	125.09	758.544	0.211584	330.186	0.005787	12.3246
0.00176496	705.95	125.09	757.414	-0.304713	489.783	0.00550907	28.1831
0.0226993	749.43	125.09	620.627	-0.199954	701.599	0.00581516	6.73842
0.001877	453.696	125.09	701.689	0.105256	450.579	0.00598718	2.59675
0.00307183	375.738	125.09	581.654	0.115137	516.809	0.0059741	1.76315
0.066364	337.353	121.54	125.09	-1.37347	222.215	0.00022598	0.00582132
0.0730362	640.19	125.09	166.027	0.115432	229.789	0.0059737	0.00402603
0.0165572	756.636	125.09	530.186	0.0162613	379.717	0.0060524	0.0271992
0.00725517	136.735	125.09	637.523	-0.237273	495.973	0.00571952	19.3285
0.00690173	265.59	125.09	948.435	0.129362	660.726	0.00595326	25.3569
0.00693103	883.906	125.09	528.214	-0.0503555	304.334	0.00603867	0.264174
0.028277	852.237	125.09	226.776	-0.108743	212.74	0.0059827	0.0311103
0.0223484	180.235	125.09	802.528	-0.123224	663.908	0.00596254	15.8066
0.0315742	423.842	125.09	158.651	-0.316582	211.42	0.00546725	0.000746346
0.015126	182.285	125.09	406.358	0.00928376	212.405	0.00605348	6.53757
1.55183e-05	398.233	125.09	811.643	0.0398616	905.819	0.00604439	1.83548
0.0222332	218.609	125.09	354.139	-0.0745325	629.339	0.00602044	0.135395
0.0307172	937.479	125.09	946.822	-0.078643	673.386	0.00601664	3.66423
0.00122234	193.275	125.09	493.979	-0.126861	342.928	0.00595709	7.61782
0.00706156	429.112	125.09	493.859	-0.157359	414.83	0.00590533	2.09435
0.00128039	614.79	125.09	197.246	0.140072	95.9923	0.005936	0.0258892
0.0129757	502.291	125.09	267.194	0.042159	247.213	0.00604325	0.0131338
0.000526631	862.495	125.09	345.998	-0.137055	111.15	0.005941	0.49858
0.00769614	367.236	100.393	125.09	1.51406	102.053	1.55553e-05	0.00603454
0.0168875	265.295	125.09	943.877	0.100228	827.11	0.00599339	15.7253
0.0746028	402.832	125.09	357.603	0.0306745	374.177	0.00604831	0.0231926
0.0113865	499.791	125.09	682.814	0.117507	808.342	0.0059708	3.00852
0.0233784	609.755	125.09	337.859	-0.0348554	327.65	0.00604665	0.0248515
2.51604e-05	483.417	125.09	935.282	0.16261	592.027	0.00589533	14.203
0.000721352	503.036	125.09	693.532	0.280342	484.016	0.00559055	16.2989
0.0294199	135.904	125.09	968.716	0.225785	842.937	0.00575059	41.4137
0.00422884	779.726	125.09	778.524	0.192568	491.106	0.00583227	11.3807
0.0158021	210.375	125.09	761.292	-0.0889627	556.911	0.00600622	14.1808
0.0825249	143.004	125.09	208.991	0.125565	563.171	0.00595906	0.0282531
