Omega	mmH1	mmH2	mmH3	mmA0	mmHch	aDM	lam2	lam8	m22	vs	WH1	WH2
0.000257641	125.09	868.117	560.195	500.797	572.308	-0.192685	7.37256	0.63793	331.782	576.936	0.00502174	17.0922
0.000427216	125.09	638.772	870.473	856.543	929.065	-0.141814	1.04427	4.13824	665.945	302.379	0.0051051	3.85314
0.00121675	125.09	537.383	600.645	582.006	635.193	-0.127153	6.76239	-0.169327	563.886	268.957	0.00512455	1.82769
6.95879e-06	125.09	898.709	445.053	539.906	454.522	0.0474541	3.85508	-3.05871	596.156	495.591	0.00519362	5.02496
0.000174861	125.09	308.83	645.21	416.682	638.995	-0.158023	4.07315	0.81461	234.846	562.64	0.0050812	0.367693
0.00256316	125.09	288.868	765.692	769.679	783.302	-0.15434	5.16623	7.25798	705.028	163.751	0.00508685	0.299702
0.00196544	125.09	333.251	762.601	693.846	734.152	0.0623879	4.5231	2.52655	582.171	340.866	0.00518544	0.0719385
0.000300161	125.09	125.558	981.568	886.453	967.018	-0.312245	2.53616	1.00481	283.184	1124.99	0.00473362	0.000473016
0.000101118	125.09	175.355	537.211	579.725	642.477	-0.131984	5.07249	7.89679	339.337	125.656	0.00511837	0.008763
0.000637183	125.09	384.248	830.908	825.924	907.836	-0.0318398	2.95094	10.5298	354.291	310.829	0.00519979	0.0340207
0.000111342	125.09	861.962	473.584	738.317	756.225	0.0938139	0.907224	0.0623713	466.121	542.112	0.00516104	3.82492
0.000132715	44.0623	125.09	209.641	552.188	549.063	1.56644	4.82578	7.82875	183.377	82.8632	8.7787e-06	0.0050526
0.000165061	125.09	894.285	245.088	494.011	511.912	0.155214	1.37358	-0.303571	510.587	1200.38	0.00508552	12.9443
0.000294762	68.3352	125.09	716.259	747.75	745.676	-1.47243	3.71045	15.618	669.912	91.9303	5.89048e-05	0.00494535
0.000566659	125.09	273.989	844.303	876.594	940.68	0.150335	0.0193845	3.4137	700.987	335.784	0.00509285	0.178607
0.000129479	125.09	720.383	790.882	700.909	821.766	0.256999	1.13383	1.52404	578.968	236.814	0.00488224	14.7685
1.43099e-05	125.09	667.167	373.011	347.42	439.552	0.198623	3.52087	-2.54944	611.39	472.919	0.00501043	7.63642
0.000270082	125.09	397.02	938.493	880.669	968.03	0.0342249	3.09091	2.28629	706.223	398.583	0.00519901	0.0434451
6.87703e-05	125.09	356.02	740.664	447.75	740.893	-0.0242703	1.32659	-0.0241487	405.132	704.45	0.00520191	0.0144008
0.000122473	125.09	788.757	767.539	864.287	896.514	-0.0173708	2.3116	3.4701	313.518	468.466	0.00520335	0.104308
0.000709069	125.09	246.01	866.467	938.488	940.387	-0.0605091	2.72435	8.54025	468.248	351.49	0.00518659	0.0137562
0.000271619	125.09	295.937	384.244	219.915	406.857	0.0770715	5.11773	1.93861	98.1556	182.494	0.00517525	0.0669667
0.00282175	125.09	510.15	767.054	757.76	788.088	-0.105457	0.238438	2.23638	607.713	391.647	0.00514953	1.04126
0.000153084	125.09	291.015	505.086	540.802	577.263	-0.188057	1.70548	6.17158	318.766	145.608	0.00503033	0.48144
0.000159092	125.09	379.836	443.555	628.344	646.599	0.0959429	0.937601	6.08117	212.772	221.215	0.00515903	0.269722
0.000335049	125.09	499.114	815.916	925.616	954.282	0.0851728	4.40239	3.65807	252.119	582.17	0.00516872	0.601449
0.000125583	125.09	610.2	689.483	842.593	830.23	0.0457184	3.46767	0.482682	568.355	561.858	0.00519442	0.330734
0.000197879	125.09	862.335	278.187	490.927	489.501	-0.0576434	3.25407	-2.45176	486.702	353.907	0.00518828	8.16769
0.0024159	125.09	995.894	745.953	723.175	791.974	0.190724	4.73165	0.544593	703.394	384.705	0.0050254	22.8001
0.00186068	125.09	377.162	421.339	468.836	460.7	0.118259	1.73453	7.51766	317.694	145.447	0.00513534	0.375352
0.000351089	125.09	170.227	339.864	517.473	525.064	0.0709403	3.26802	0.208911	360.185	255.17	0.00517977	0.00199097
0.00070879	125.09	348.9	619.619	538.98	589.695	-0.0935161	3.05131	-2.82301	559.629	102.993	0.00516131	0.228164
0.000331096	125.09	784.521	718.477	765.322	834.093	-0.285597	3.42945	2.08419	484.923	497.034	0.00480851	27.6296
0.000394573	125.09	943.238	775.986	807.874	874.033	-0.272891	2.15554	2.34817	660.492	328.984	0.00484213	44.9288
0.000360636	125.09	267.8	757	728.267	761.159	-0.156426	1.72373	6.71647	259.372	323.985	0.00508366	0.19721
0.000440859	125.09	780.914	738.208	762.89	814.692	-0.095079	0.737186	0.808365	492.768	760.17	0.00515985	3.04467
0.000207476	125.09	274.864	759.378	850.073	885.576	0.128585	2.24114	14.3005	502.073	195.669	0.00512274	0.129356
6.08414e-05	125.09	160.065	625.847	427.595	620.974	0.0935322	0.360219	14.8842	383.576	64.251	0.0051613	0.000461677
0.000131576	125.09	149.996	485.888	439.752	512.67	0.0894636	4.72683	6.52443	348.489	53.5051	0.00516499	4.78858e-05
0.000845615	125.09	308.168	633.088	688.803	662.855	-0.133172	4.87151	8.74136	306.2	253.337	0.00511682	0.272214
0.00112298	125.09	239.358	629.596	667.102	730.044	-0.202385	3.59717	1.38923	606.055	283.752	0.0050031	0.135113
0.000120755	125.09	869.772	917.589	876.217	977.081	-0.213992	0.932865	0.893388	660.641	527.796	0.00497966	21.2245
0.00170381	125.09	174.999	815.709	845.783	884.492	0.212524	2.59526	7.08027	650.017	268.072	0.00498269	0.0221797
0.000944644	125.09	309.65	514.156	544.205	574.903	0.0226886	2.78941	-0.00968631	494.893	378.971	0.00520228	0.00741225
0.000123354	125.09	589.241	429.25	564.611	559.779	-0.0416874	3.39842	7.37975	75.4829	195.119	0.00519618	0.25638
0.000108317	123.73	125.09	438.132	608.963	610.27	-1.08378	2.75875	3.97369	131.605	254.966	0.00128587	0.00389983
0.000446082	125.09	883.236	373.23	426.115	472.955	0.123849	7.55411	2.23176	292.218	252.479	0.00512865	9.71679
0.000314363	125.09	749.692	351.393	201.305	364.546	0.0384949	4.35356	-0.920427	434.368	585.417	0.00519746	7.21259
0.00136323	124.163	125.09	573.197	524.229	581.642	-1.08416	3.21347	0.58158	231.794	864.85	0.00129038	0.00390142
0.000133881	124.622	125.09	501.836	427.504	523.917	-0.475796	5.04049	10.1829	442.316	63.4791	0.00413977	0.00104767
0.000228866	125.09	483.573	152.29	564.196	572.858	0.0716883	4.51074	0.110698	120.588	157.588	0.00517924	0.372333
0.000601234	125.09	538.724	532.049	636.678	643.065	0.183893	7.48246	-0.520998	663.005	723.307	0.00503789	3.46836
0.00430511	125.09	271.378	840.521	853.428	893.467	0.152773	5.47119	6.33341	591.423	341.671	0.00508921	0.175985
0.000523845	125.09	191.734	494.829	737.229	497.866	0.0821812	4.02096	-0.326553	507.97	288.043	0.00517121	0.00749583
0.000164003	125.09	742.046	576.866	497.373	629.74	-0.191126	3.92743	1.30552	155.892	536.657	0.00502466	10.6333
0.000559923	88.838	125.09	810.622	892.912	877.867	1.49133	2.87668	6.97228	698.205	209.244	9.5584e-05	0.00496204
0.00143143	125.09	529.023	369.894	351.658	412.966	0.123784	6.83231	0.650229	293.191	294.859	0.00512873	1.47545
0.000839596	125.09	761.925	950.293	871.72	957.924	-0.0016798	4.78289	0.986232	693.928	769.99	0.00520484	0.000877369
0.000162867	125.09	125.304	741.22	644.7	743.802	-0.46046	3.9716	5.77352	575.262	74.39	0.00421886	0.000987704
0.0036805	125.09	144.267	684.431	633.034	642.383	0.0830521	5.90041	0.592148	543.425	542.606	0.00517049	3.96931e-05
0.000691639	125.09	336.77	824.386	672.581	678.791	-0.0203125	3.94069	7.56794	462.058	232.866	0.00520279	0.00831835
0.000207077	124.751	125.09	492.443	319.988	480.149	-0.816068	3.8564	0.503145	265.831	276.608	0.00254682	0.00264981
0.000139298	125.09	814.561	340.608	376.729	406.174	-0.277416	3.23333	-3.50167	480.532	227.972	0.00483031	39.7227
0.000166991	125.09	543.493	336.26	550.773	547.268	0.0825349	6.75122	-1.14756	642.481	706.67	0.00517092	0.746554
0.000275611	125.09	887.194	451.294	164.429	467.654	0.0365189	4.50437	-3.77082	460.071	321.137	0.0051982	15.9621
0.000399182	125.09	692.132	549.447	663.849	678.831	0.0792084	1.71289	1.76294	342.452	462.659	0.00517359	1.43026
6.09572e-05	125.09	842.09	361.178	542.449	543.9	0.23419	0.270745	3.18368	198.408	207.85	0.00493596	21.7017
0.000623266	125.09	408.233	732.887	769.707	799.982	-0.0891167	5.30544	0.748406	266.134	1061.35	0.0051653	0.334124
0.000112857	48.3678	125.09	634.405	590.842	651.737	1.55389	0.171455	21.1504	168.682	156.944	1.21199e-05	0.00522841
0.000495464	125.09	681.422	786.54	668.571	798.549	-0.119021	3.62656	0.395805	555.057	935.338	0.00513445	3.17402
0.000999838	125.09	511.807	725.736	723.302	784.463	-0.142099	2.07476	9.26468	413.498	257.271	0.0051047	1.9669
0.00018773	125.09	876.134	842.76	942.136	981.888	0.251712	3.81237	6.46203	341.981	400.791	0.0048951	26.3975
0.000194161	125.09	236.224	675.385	793.517	790.251	0.0678354	2.35094	4.2473	559.828	208.697	0.00518191	0.0145092
0.0102883	125.09	249.895	702.647	663.005	665.881	0.0420776	2.29927	0.0706248	615.666	1274.84	0.00519602	0.00711348
0.000622111	125.09	656.437	602.198	543.768	586.852	0.0514587	3.74452	-1.51207	596.962	361.481	0.00519164	0.518519
0.000565357	51.5031	125.09	592.067	628.757	669.853	1.55226	3.01022	1.7143	521.642	239.026	1.46919e-05	0.00510655
0.00136905	125.09	300.999	909.482	841.666	848.133	-0.196522	4.47868	4.39425	518.438	410.421	0.00501447	0.523962
0.00452009	125.09	531.281	717.946	712.793	773.386	0.188415	8.12406	2.13408	584.803	420.521	0.00502967	3.40099
0.000114118	125.09	408.896	720.409	672.689	779.336	-0.063031	1.52747	12.4408	467.425	141.641	0.00518504	0.17814
5.25226e-05	125.09	684.453	625.279	751.817	764.415	-0.17765	0.517847	4.75864	165.658	285.698	0.00504891	7.5021
