k	omega	
1	1.96153e-06	
2	0.000204977	
3	0.0112199	
4	0.00094191	
5	0.00630067	
6	0.00447787	
7	0.000198816	
8	0.0446068	
9	0.0382787	
10	0.0294405	
11	0.0162208	
12	0.0107631	
13	0.000702808	
14	0.0124965	
15	0.0450489	
16	0.00111275	
17	0.0950752	
18	0.000565605	
19	0.0598949	
20	0.00755921	
21	0.00756519	
22	0.00142535	
23	0.0544176	
24	0.012171	
25	0.0790766	
26	0.00425421	
27	0.0552415	
28	0.0096217	
29	0.00121835	
30	0.00941864	
31	0.000554771	
32	0.116697	
33	0.0369375	
34	0.0046642	
35	0.00523895	
36	0.00749125	
37	0.0322865	
38	0.00302595	
39	0.0107062	
40	0.000823717	
41	0.00182423	
42	0.0079788	
43	0.000300619	
44	0.0259718	
45	0.000185074	
46	0.00114431	
47	0.000109229	
48	0.00222695	
49	0.0143933	
50	0.0271886	
51	0.0061863	
52	0.00214827	
53	0.00941215	
54	0.0101379	
55	0.00424178	
56	0.00412023	
57	0.0053827	
58	0.0451092	
59	0.0014287	
60	0.00417983	
61	0.00271878	
62	0.0886474	
63	0.0426127	
64	0.0759049	
65	0.0560231	
66	0.00228639	
67	0.000248161	
68	4.71456e-05	
69	0.0136195	
70	0.0586867	
71	0.00396931	
72	0.00563744	
73	0.0125464	
74	0.0131151	
75	0.0597124	
76	0.00789605	
77	0.00601485	
78	0.0396287	
79	0.00678	
80	0.00265787	
81	0.00112819	
82	0.00540607	
83	9.89601e-07	
84	0.000122162	
85	0.059651	
86	0.0470275	
87	0.0718621	
88	0.00887419	
