Omega	mMChi	mMPsi	lam12	lam13	lam123
0.119516	100	120	0.0349714	0.001	0.001
0.120997	100	120	0.0314743	2.18376	0.251804
0.120931	100	120	0.0314743	1.96538	0.335773
0.120995	100	120	0.0314743	1.76885	0.381862
0.120911	100	120	0.0314743	1.59196	0.412081
0.120926	100	120	0.0314743	1.43277	0.432002
0.120944	100	120	0.0314743	1.28949	0.445472
0.120946	100	120	0.0314743	1.16054	0.455952
0.120898	100	120	0.0314743	1.04449	0.463053
0.120912	100	120	0.0314743	0.940038	0.467564
0.120851	100	120	0.0314743	0.846034	0.471833
0.120892	100	120	0.0314743	0.76143	0.473905
0.120884	100	120	0.0314743	0.685287	0.475972
0.120848	100	120	0.0314743	0.616759	0.477968
0.120794	100	120	0.0314743	0.555083	0.479846
0.12073	100	120	0.0314743	0.499574	0.481582
0.120661	100	120	0.0314743	0.449617	0.483161
0.120592	100	120	0.0314743	0.404655	0.484583
0.120527	100	120	0.0314743	0.36419	0.485853
0.120467	100	120	0.0314743	0.327771	0.486984
0.12041	100	120	0.0314743	0.294994	0.48798
0.120358	100	120	0.0314743	0.265494	0.488853
0.120312	100	120	0.0314743	0.238945	0.489616
0.120272	100	120	0.0314743	0.21505	0.490282
0.120237	100	120	0.0314743	0.193545	0.490864
0.120203	100	120	0.0314743	0.174191	0.491366
0.120174	100	120	0.0314743	0.156772	0.491797
0.120149	100	120	0.0314743	0.141095	0.492166
0.120127	100	120	0.0314743	0.126985	0.492482
0.120108	100	120	0.0314743	0.114287	0.492753
0.120092	100	120	0.0314743	0.102858	0.492983
0.119039	100	120	0.0283268	2.70496	0.402504
0.120908	100	120	0.0283268	2.43446	0.479061
0.120926	100	120	0.0283268	2.19102	0.543122
0.120903	100	120	0.0283268	1.97191	0.584061
0.120926	100	120	0.0283268	1.77472	0.610631
0.120867	100	120	0.0283268	1.59725	0.62944
0.120847	100	120	0.0283268	1.43753	0.641865
0.120935	100	120	0.0283268	1.29377	0.649882
0.120859	100	120	0.0283268	1.1644	0.657437
0.120946	100	120	0.0283268	1.04796	0.661004
0.120923	100	120	0.0283268	0.94316	0.664517
0.120843	100	120	0.0283268	0.848844	0.667755
0.12074	100	120	0.0283268	0.76396	0.67062
0.120633	100	120	0.0283268	0.687564	0.673088
0.120533	100	120	0.0283268	0.618807	0.675178
